bacteria_OG	read_count_sum	RPK_sum	TPM	LIBID
2ZC6G	5	12.254901960784315	8.382561180365979	MBM166
2ZC96	104	244.0145881263403	166.9101246518616	MBM166
2ZCD9	46	0.22009569377990432	0.15054919448144372	MBM166
2ZCGA	5	0.07142857142857142	0.04885835659413312	MBM166
2ZCMR	47	86.08058608058607	58.88058358780145	MBM166
2ZD2D	8	9.132420091324201	6.246730523450811	MBM166
2ZD7B	79	48.229548229548236	32.98983052082494	MBM166
2ZD7V	9	32.93500437190324	22.52810263244495	MBM166
2ZDCZ	36	0.2465753424657534	0.16866172413317188	MBM166
2ZDI8	9	9.174311926605505	6.2753852506226036	MBM166
2ZDQ9	6	25	17.100424807946595	MBM166
2ZDWE	9	25.210084033613448	17.24412585675287	MBM166
2ZDZI	2	6.410256410256411	4.384724309729896	MBM166
