feature	lfc_(Intercept)	lfc_regionTw	lfc_mol_typeRNA	lfc_region:mol_type	se_(Intercept)	se_regionTw	se_mol_typeRNA	se_region:mol_type	W_(Intercept)	W_regionTw	W_mol_typeRNA	W_region:mol_type	p_(Intercept)	p_regionTw	p_mol_typeRNA	p_region:mol_type	q_(Intercept)	q_regionTw	q_mol_typeRNA	q_region:mol_type	diff_(Intercept)	diff_regionTw	diff_mol_typeRNA	diff_regionTw:mol_typeRNA	passed_ss_(Intercept)	passed_ss_regionTw	passed_ss_mol_typeRNA	passed_ss_region:mol_type
COG0412	-0.34377388191256214	0.20863152102015134	0.17374873174441605	-1.3827504461271103	0.26882510054236824	0.3690991189407657	0.48847680731577464	0.6283892947769175	-1.2788012771834956	0.565245242575703	0.3556949462947513	-2.2004678590490565	0.20675558991871665	0.5743852673367602	0.7235360981091579	0.03232829213565271	0.289855114449698	0.779650079927649	0.7734503710556382	0.08231946556336832	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
COG0422	-0.2758775470343661	0.9125096832494833	-0.4465782725717255	-0.6597578690700431	0.3590056600839859	0.4680986157435261	0.532795138862693	0.6995668329748218	-0.768449018240624	1.9493962437809313	-0.8381800808562059	-0.9430948380793068	0.44526787266540846	0.05787712262592832	0.40690143998276374	0.35156804487440874	0.5388365494362213	0.12239473637439671	0.4743571380890941	0.4720825510545167	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
COG0423	-0.3567490217092883	-0.07537443414528479	0.06450430835754771	1.398328186313174	0.20250102279260987	0.274338963445398	0.3077530495393761	0.40707755980540966	-1.7617146658792462	-0.27474928533178133	0.20959762528460202	3.435041192105013	0.08289327925742347	0.7843938476635683	0.8346475064523932	0.001044891982225721	0.13231187965337146	0.907832085389182	0.8661216864986112	0.006983228476630677	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
COG0425	-0.7553057236373433	0.8678097388769026	0.33240201759826504	-0.20478607304693502	0.24656702392071053	0.3211273291462851	0.3852548426404359	0.49603227784056275	-3.0632876676981335	2.702385191518794	0.8628107444933555	-0.4128482806370081	0.0033246536075848166	0.009503069791656061	0.39258710405144204	0.6816507595093035	0.007473001883030826	0.025250189992700702	0.4613557175799161	0.7651092819876862	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
COG0427	1.2197742158472493	-1.2835122537109664	-1.5915102245798713	0.7510987275176336	0.2793142373018215	0.3840574590161441	0.413221791533374	0.5853781817602656	4.367032012511361	-3.341979757401387	-3.851467316556882	1.2830999701065675	5.059130190405307e-5	0.001436110571227981	2.878970388855025e-4	0.20439118781347507	1.5273339592068434e-4	0.004402114361815395	7.926221935354008e-4	0.31393769286087264	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
COG0431	-0.5544877913467724	0.6796189028531042	0.9978563484645624	-0.7821615659741371	0.2251045501844472	0.2932627859546515	0.31452612808045605	0.42292328057116185	-2.4632455936249786	2.317439973301613	3.172570605038288	-1.849417144683595	0.016460192457530585	0.024733854403644628	0.002814553591581939	0.07145121053667115	0.03184728949517796	0.0588437215499752	0.006014486710332922	0.1459959234179831	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
COG0436	0.13769271239437278	0.56272311098383	-0.564431455832458	-0.16520290015412878	0.23643716104433482	0.32286431883651745	0.3469011562246325	0.4689061716363257	0.5823649369929363	1.7429089501487007	-1.627067093045276	-0.3523154740694197	0.5622756191305176	0.08593736070805713	0.10841718529201755	0.7257075171844953	0.6522607597646927	0.17355976770450754	0.1530955576180022	0.796186630695521	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
COG0438	0.588376453164944	0.09806730638769563	-1.4544388339659078	0.7169816334803699	0.17386964083537343	0.23336095542677907	0.2572743497701251	0.3423508746611357	3.3840091366039102	0.42023870792072543	-5.653260168631076	2.094288890571843	0.001197466588708282	0.6756557955242535	3.5161898640058295e-7	0.04001996117899438	0.0029284413363522372	0.8467625221365749	2.0800163688764213e-6	0.09719133429184348	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
COG0439	-1.3942027694276034	1.5642421782575437	1.1710079604491923	-0.28423535416085627	0.24321826261849094	0.3325507467002808	0.375714112251978	0.4989729114037249	-5.73231119414142	4.703769857017804	3.1167526644935797	-0.5696408515669462	3.139472702120911e-7	1.47256642145665e-5	0.0027705556241051023	0.5709795876150752	1.2325597985232545e-6	6.288936107245351e-5	0.005945150610058866	0.6714474532666196	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
COG0440	0.5490346029577725	-0.3093364503424722	0.09221284095941079	-2.6709341182925916	0.2503342397510171	0.3345373560253927	0.3840832491002324	0.5106751863245214	2.193206185074177	-0.9246693822706973	0.24008555742910423	-5.230201485833071	0.03227062250275852	0.35980575822831506	0.8113214319775641	4.437469965536415e-6	0.05873790021032242	0.5660170506913329	0.8466172988037632	3.237504129022609e-4	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
COG0442	-0.0033935607107158997	0.041805791672886505	-0.9379895580253159	1.2432475716757678	0.20954879918843425	0.28442289779714514	0.3185589061826026	0.4258382046613503	-0.01619460824332513	0.14698462042498087	-2.944477582703799	2.9195303710818195	0.9871311390764712	0.8836210785966281	0.004549183059474105	0.0048810165848949365	0.9899579750990269	0.952824076238251	0.009230150100972374	0.01978393527812739	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
