feature	lfc_(Intercept)	lfc_regionTw	lfc_mol_typeRNA	lfc_region:mol_type	se_(Intercept)	se_regionTw	se_mol_typeRNA	se_region:mol_type	W_(Intercept)	W_regionTw	W_mol_typeRNA	W_region:mol_type	p_(Intercept)	p_regionTw	p_mol_typeRNA	p_region:mol_type	q_(Intercept)	q_regionTw	q_mol_typeRNA	q_region:mol_type	diff_(Intercept)	diff_regionTw	diff_mol_typeRNA	diff_regionTw:mol_typeRNA	passed_ss_(Intercept)	passed_ss_regionTw	passed_ss_mol_typeRNA	passed_ss_region:mol_type
3NUP6	0.7542629785911807	-0.19713410345458213	-1.41953056454596	0.17708219050031251	0.23166267643298244	0.3425461618827932	0.31115222256928976	0.4738864987307234	3.2558674975396005	-0.5754964597210528	-4.562173950821926	0.3736805985707897	0.0024118652108015178	0.5691238120727056	1.5201408063598873e-4	0.7122124761886853	0.025321263710753925	0.9770563778141853	8.179805291365108e-4	0.9826535973426399	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
3NUQM	0.5963189501680437	0.2603843109392903	0.39156425259145483	-0.30474553741000227	0.3258879257300642	0.4791669607028238	0.45482530285647665	0.6539254675772839	1.8298283031878262	0.54341040241457506	0.8609113216267471	-0.4660248797757461	0.07183541469177476	0.589118101451922	0.3938528077016348	0.6434117974567425	0.17646525782979453	0.9770563778141853	0.5330532150704641	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
3NUR2	0.06500628692005499	0.24426863535189847	0.11427676919593661	-0.6237824028949257	0.2953989623040957	0.44271669033914446	0.39390440310822256	0.6126457000214992	0.22006267866687654	0.551749325657399	0.2901129520112012	-1.0181780478880953	0.8268817644460671	0.584762354280469	0.7738891058754759	0.3164324990679886	0.8878210722791983	0.9770563778141853	0.8642860419652284	0.9737186131559217	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NURF	0.18511723644025607	0.1571945685773488	-0.29205152017483244	-0.47476088797950905	0.23026641969327127	0.37248875082143423	0.34097707212132866	0.5230539776319478	0.8039263245020415	0.42201158620413104	-0.8565136604578292	-0.907670925530327	0.4256661175647659	0.6750259779970549	0.39625194748600867	0.36888740449575885	0.6325435919620139	0.9770563778141853	0.5330532150704641	0.9737186131559217	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
3NUSV	0.3291328407899338	0.15011193845952658	-0.8504130250477221	-0.1835478169230914	0.2548016176949095	0.40097415437945283	0.36438564920936006	0.5641246300891144	1.291721943398436	0.37436811530119607	-2.3338268861381857	-0.3253674935166303	0.20343600763038025	0.7102966957835652	0.026821851023626924	0.7471904569575707	0.36489315654338045	0.9770563778141853	0.05942880716999691	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
3NUUE	0.028030711415649452	0.03611992525285315	0.14895036483536334	-0.5421320767661838	0.26226370495046597	0.40108582466397097	0.3570916151649809	0.5694289422925463	0.10687987276372704	0.09005535232543899	0.4171208690143743	-0.9520627360167819	0.9154114514941223	0.9287590051132877	0.6797215923897346	0.34849750586152894	0.940377218353053	0.9942318693737984	0.8000889577087501	0.9737186131559217	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NUWZ	0.8397194014226751	-1.0762196790474425	0.23300140957981724	-1.0564333048415864	0.3208581815746583	0.4319878550103882	0.37075898601818563	0.58534429493728	2.6171045329174083	-2.4913192965148574	0.6284444028779078	-1.804806699200483	0.015307587269502624	0.020626905348973955	0.5373089277647642	0.08655875873975875	0.0693535328667578	0.9770563778141853	0.6822012228923411	0.9217150406803057	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
3NUYW	-0.6310315408007655	0.20176346293260858	1.3008474020913645	-0.16887783565397224	0.25340298449410215	0.444001301999777	0.3665918260948872	0.5875152314833817	-2.4902293162038607	0.4544208812538795	3.548489926653897	-0.2874441828981741	0.016134108669211708	0.6514926278776261	8.535988839121206e-4	0.7749602348467954	0.06956075173105512	0.9770563778141853	0.00311150560909902	0.9826535973426399	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
3NV0M	0.7037591298702676	-0.6391861630252338	-1.8275199563675082	0.6163999773638882	0.2610488934554115	0.44364649780715354	0.37312022795244987	0.6117712725643443	2.6958901091472094	-1.440755570447619	-4.897938571693856	1.0075660708619774	0.010235184727204243	0.15827880025807003	3.239916131795078e-5	0.32159588702445446	0.05507504162733712	0.9770563778141853	2.7794400322317896e-4	0.9737186131559217	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
3NV17	-0.37142472318161074	-0.5728205569337987	1.7646882789147986	0.07816511728883552	0.24449827542554897	0.4061293545499966	0.3525271461689806	0.539234714746628	-1.5191302373611693	-1.4104386952489583	5.005822383019864	0.1449556476080425	0.13435659347964016	0.1647714548441119	1.389018103391787e-5	0.885458116595139	0.2846674485425479	0.9770563778141853	1.426900415302472e-4	0.9826535973426399	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
3NV1H	0.12770872717407333	0.029378450091139784	-0.4080531135069877	-0.1333845531859576	0.2594155102449404	0.43274893544481396	0.3738946895673053	0.5877486477473038	0.492294107832992	0.06788797772764539	-1.0913584089124473	-0.22694148884423268	0.624920982989955	0.9462094621693915	0.28362764043082034	0.8218236855610861	0.785911767000763	0.9942318693737984	0.41657721226306615	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
3NV25	-0.3580218431534207	0.479110867032318	1.0536865419989108	-0.5746975585572267	0.28429714245252513	0.4514074912533891	0.41346867333200304	0.6237119128501731	-1.25932269337954	1.0613711033062545	2.548407194933561	-0.9214150743586638	0.2136498618932587	0.29417378619161455	0.015133169240431815	0.36264644615043895	0.3772255374052849	0.9770563778141853	0.038864730094745344	0.9737186131559217	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
3NV4S	0.009987306735736423	-0.33131522584829237	0.04561499204835463	-0.06372396042758695	0.28564108405555705	0.4794796004822954	0.39913545056335686	0.6361912308803797	0.034964531691085085	-0.6909892006146486	0.11428449160296757	-0.10016478903584368	0.9722661657554126	0.49320191020089676	0.9095321915144081	0.9206685094465454	0.9897844750483029	0.9770563778141853	0.9379668971049346	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NV4W	0.08175907125787561	0.3832337447939203	0.01997720613381818	-0.8533501047644475	0.3019050167837361	0.4657171023990816	0.41181252383199324	0.6628016793513153	0.270810575222876	0.8228895671207715	0.04851043855569643	-1.287489352168845	0.7877863348388282	0.4157817845758627	0.9616145095459674	0.2061174771345283	0.8727436846743881	0.9770563778141853	0.9629197852063818	0.9737186131559217	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NV5S	0.5306752038693375	-0.49542459116612336	-1.42128615548523	1.0326075320077108	0.24238658423027631	0.4158332816580776	0.3545611508090953	0.5791594836052184	2.189375313631947	-1.1914019704980958	-4.008578357335281	1.7829415924950707	0.034324019711721096	0.24260240468073643	6.725909007764596e-4	0.0849725635160192	0.10813555191819169	0.9770563778141853	0.002533425726257998	0.9217150406803057	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
3NV7Y	-0.1769171530804265	0.22386355831135404	-0.036528527380193083	-0.5770352006377584	0.23685642173041618	0.38678937735166036	0.32478815530409727	0.5228506971888467	-0.7469383848152067	0.5787738015044355	-0.11246877936786714	-1.1036328415362924	0.459536748467982	0.5666339160154759	0.9113625651820763	0.27873315734310855	0.6549000298895324	0.9770563778141853	0.9379668971049346	0.9737186131559217	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NV83	-0.0012221751808731865	0.17962588735988588	0.4577634506797782	-0.24896951121779803	0.24138948665393914	0.3885958860350123	0.35456048246742156	0.5494925932257335	-0.005063083723382376	0.46224340970944217	1.2910729574095707	-0.4530898401309669	0.9959808182785295	0.6459527756907932	0.20273636192921832	0.6524840964081462	0.9959808182785295	0.9770563778141853	0.32266491405636155	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NV8Y	0.1113938464981491	0.4275346234219281	-0.07089511090422465	-0.6437203376748201	0.2852390350832	0.46725870152119675	0.4239575237866792	0.6397799255358755	0.39052805821495357	0.9149848296672831	-0.16722220252398828	-1.0061590118440245	0.6979488633774408	0.364971229186031	0.8679281834228928	0.3196026340864852	0.8215439746005292	0.9770563778141853	0.9340560450170179	0.9737186131559217	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
3NV96	0.4671776328899534	-0.689246163546896	-0.6896409102945673	0.20757139015559486	0.2580126205112353	0.4331799708234418	0.36778030468754175	0.6195765564295902	1.8106774465693622	-1.5911311925080287	-1.8751436700246127	0.33502137548870226	0.07727509253301774	0.11973290802667835	0.0712392956661308	0.7396451609159647	0.18578905226023415	0.9770563778141853	0.13303252850448755	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
3NVCW	-0.34247901455976565	-0.05056188732973486	1.1318838002145486	-1.3542953463091993	0.2607632774523068	0.4912624451573562	0.38373878788246385	0.6305856986172071	-1.313371337811953	-0.10292235408619396	2.9496205125900268	-2.1476784983849044	0.19592072389039197	0.9185385861243934	0.006241721829912148	0.03934186620597322	0.36059413247388344	0.9942318693737984	0.018560909652107178	0.9217150406803057	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
3NVD8	0.043845229648530444	0.13380326501180465	-0.11043238466395913	-0.3774232445273093	0.24050005423841467	0.4077600577776362	0.33485048423589747	0.5452272722995208	0.18230860607235205	0.32814215728008256	-0.3297961026275867	-0.6922310451117194	0.8563249490029889	0.7450219760652763	0.7442858971082683	0.49490987397124675	0.8959696225679421	0.9770563778141853	0.8495384482144881	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
3NVDJ	0.42575672529980924	-0.16820784991983218	-1.4036288281983813	0.1860459084702086	0.21529627586463418	0.354077025253521	0.301933657397069	0.49050390867254545	1.9775387362831134	-0.47506005169184434	-4.648798813285288	0.3792954657052705	0.055149037191665154	0.6378651671388098	7.358753807558247e-5	0.7071537226981135	0.14837717149186103	0.9770563778141853	4.6196621125226776e-4	0.9826535973426399	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
3NVGU	0.26935496102320117	-0.4553544897303516	0.024079948878905136	0.14874524438338826	0.23913090159270253	0.3817982986314878	0.34840502243890253	0.5374323893362463	1.1263912745245175	-1.1926571997898303	0.06911481559691889	0.276770152552762	0.26559996911112593	0.2388661561563596	0.9451853570388229	0.7831449705472434	0.45473934105389746	0.9770563778141853	0.9622157238323152	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
