3	 Marinobacterium
1	 Neptunomonas
1	 Thalassolituus
1	 Amphritea
11	 Alcanivorax
5	 Oleiphilus
2	 Reinekea
1	 Saccharospirillum
1	 Hahella
47	 Shewanella
12	 Salinimonas
11	 Marinobacter
6	 Alteromonas
2	 Glaciecola
1	 Agarivorans
6	 Pseudoalteromonas
4	 Idiomarina
1	 Colwellia
1	 Thalassotalea
1	 Cognaticolwellia
3	 Ferrimonas
2	 Moritella
1	 Psychromonas
81	 Aeromonas
1	 Oceanimonas
3	 Succinivibrio
37	 Methylomonas
12	 Methylococcus
6	 Methylomicrobium
6	 Methylogaea
4	 Methylocaldum
4	 Candidatus Methylospira
2	 Methylovulum
2	 Methylotuvimicrobium
1	 Methylomagnum
8	 Thioalkalivibrio
8	 Acidihalobacter
6	 Aquisalimonas
4	 Alkalilimnicola
1	 Ectothiorhodospira
1	 Spiribacter
7	 Allochromatium
5	 Nitrosococcus
5	 Marichromatium
2	 Thiocystis
2	 Rheinheimera
2	 Thermochromatium
2	 Caldichromatium
1	 Thiodictyon
1	 Candidatus Nitrosacidococcus
7	 Wenzhouxiangella
4	 Sulfurivermis
2	 Thiohalobacter
1	 Woeseia
1	 Guyparkeria
14	 Beggiatoa
9	 Thiothrix
6	 Thiosulfativibrio
3	 Methylophaga
2	 Thiomicrospira
2	 Piscirickettsia
1	 Thiomicrorhabdus
1	 Thiosulfatimonas
4	 Francisella
13	 Cellvibrio
5	 Aequoribacter
4	 Kineobactrum
6	 Spongiibacter
3	 Microbulbifer
21	 Legionella
1	 Tatlockia
2	 Coxiella
12	 Immundisolibacter
6	 Solimonas
3	 Steroidobacter
3	 Sulfuricaulis
1	 Acidiferrobacter
1	 Sulfurifustis
1	 Sedimenticola
1	 Celerinatantimonas
3	 Cardiobacterium
2	 Salinisphaera
2	 Frischella
2483	 Hyphomicrobium
15	 Aquabacter
13	 Rhodoplanes
9	 Rhodomicrobium
7	 Methyloceanibacter
5	 Methyloligella
4	 Filomicrobium
3	 Caenibius
1136	 Bradyrhizobium
108	 Rhodopseudomonas
43	 Afipia
41	 Tardiphaga
33	 Nitrobacter
21	 Variibacter
469	 Methylobacterium
167	 Methylorubrum
46	 Microvirga
218	 Rhizobium
74	 Agrobacterium
18	 Neorhizobium
5	 Pseudorhizobium
38	 Sinorhizobium
34	 Ensifer
12	 Shinella
8	 Georhizobium
6	 Peteryoungia
5	 Ciceribacter
263	 Mesorhizobium
27	 Aminobacter
12	 Phyllobacterium
10	 Oricola
9	 Hoeflea
8	 Nitratireductor
7	 Salaquimonas
5	 Roseitalea
28	 Pseudolabrys
27	 Ancylobacter
19	 Starkeya
16	 Xanthobacter
6	 Labrys
2	 Azorhizobium
87	 Bosea
44	 Methylocystis
19	 Methylosinus
56	 Phreatobacter
22	 Labrenzia
18	 Stappia
11	 Pannonibacter
1	 Pseudovibrio
32	 Devosia
7	 Maritalea
3	 Pelagibacterium
1	 Youhaiella
31	 Brucella
3	 Ochrobactrum
2	 Pseudochrobactrum
18	 Aureimonas
16	 Martelella
12	 Methylovirgula
9	 Methylocella
7	 Beijerinckia
25	 Chelatococcus
16	 Pseudorhodoplanes
3	 Nordella
1	 Terrihabitans
9	 Candidatus Phaeomarinobacter
4	 Pyruvatibacter
4	 Kaustia
1	 Parvibaculum
14	 Breoghania
9	 Lichenihabitans
8	 Blastochloris
7	 Kaistia
2	 Hartmannibacter
999	 Sphingomonas
182	 Sphingobium
118	 Sphingopyxis
74	 Novosphingobium
29	 Sphingosinithalassobacter
23	 Rhizorhabdus
10	 Blastomonas
7	 Sphingorhabdus
5	 Hankyongella
4	 Parasphingopyxis
4	 Tardibacter
3	 Allosphingosinicella
2	 Aquisediminimonas
2	 Parasphingorhabdus
2	 Novosphingopyxis
1	 Citromicrobium
44	 Erythrobacter
19	 Porphyrobacter
23	 Qipengyuania
14	 Altererythrobacter
6	 Croceicoccus
6	 Croceibacterium
5	 Tsuneonella
3	 Paraurantiacibacter
3	 Pelagerythrobacter
2	 Aurantiacibacter
14	 Polymorphobacter
10	 Sandaracinobacter
9	 Sphingosinicella
272	 Roseomonas
25	 Roseococcus
16	 Komagataeibacter
14	 Acetobacter
11	 Acidiphilium
10	 Acidibrevibacterium
5	 Gluconobacter
4	 Gluconacetobacter
3	 Kozakia
3	 Granulibacter
3	 Lichenicola
2	 Neoasaia
1	 Entomobacter
1	 Swingsia
1	 Parasaccharibacter
1	 Asaia
69	 Azospirillum
13	 Niveispirillum
8	 Skermanella
5	 Nitrospirillum
1	 Indioceanicola
27	 Magnetospirillum
14	 Rhodospirillum
9	 Hypericibacter
6	 Defluviicoccus
6	 Tistrella
5	 Ferrovibrio
4	 Pararhodospirillum
11	 Thalassospira
4	 Magnetospira
6	 Stella
1	 Elioraea
231	 Paracoccus
14	 Rhodobacter
12	 Rhodovulum
11	 Cereibacter
10	 Pikeienuella
10	 Thioclava
8	 Paraoceanicella
8	 Defluviimonas
7	 Marivivens
7	 Pelagovum
7	 Tabrizicola
6	 Rhodobaca
5	 Falsirhodobacter
5	 Qingshengfaniella
4	 Brevirhabdus
4	 Cognatishimia
4	 Haematobacter
4	 Polymorphum
4	 Boseongicola
