pangene	corr_p_vals	corr_coeff	species_tested_for	p_adj	significant	transcripts_from
DNF11_0001	0.43816554969814314	0.20931764705882352	Cutibacterium_acnes	0.8092649438302439	FALSE	Malassezia_restricta
DNF11_0013	0.4247811590473742	0.21580588235294115	Cutibacterium_acnes	0.8062309458811227	FALSE	Malassezia_restricta
DNF11_0023	0.3390988752988921	0.2566558823529412	Cutibacterium_acnes	0.7394806798686683	FALSE	Malassezia_restricta
DNF11_0032	0.5217940671589482	0.1734176470588235	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0039	0.5687382871086832	-0.15476470588235294	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0046	0.03738488887331936	-0.5262970588235294	Cutibacterium_acnes	0.37592582700393357	FALSE	Malassezia_restricta
DNF11_0049	0.5593903222147053	-0.15858235294117645	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0084	0.07911982542842118	-0.4525676470588235	Cutibacterium_acnes	0.5500335898263176	FALSE	Malassezia_restricta
DNF11_0110	0.7062968489715055	0.10285	Cutibacterium_acnes	0.8754013345871282	FALSE	Malassezia_restricta
DNF11_0154	0.7612184683846343	0.08300294117647058	Cutibacterium_acnes	0.9005264233831294	FALSE	Malassezia_restricta
DNF11_0155	0.5835531194490451	-0.14923529411764705	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0170	0.19746869868272474	-0.34258823529411764	Cutibacterium_acnes	0.6641183200969731	FALSE	Malassezia_restricta
DNF11_0202	0.715797776347486	0.09937058823529411	Cutibacterium_acnes	0.8754013345871282	FALSE	Malassezia_restricta
DNF11_0203	0.47918206980582234	-0.19138529411764704	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0215	0.3168886962318581	0.2680411764705882	Cutibacterium_acnes	0.7353442822816195	FALSE	Malassezia_restricta
DNF11_0224	0.7113100419057161	-0.10077647058823529	Cutibacterium_acnes	0.8754013345871282	FALSE	Malassezia_restricta
DNF11_0253	0.5308879180970403	-0.16958529411764706	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0312	0.691100384638717	0.10840882352941177	Cutibacterium_acnes	0.8754013345871282	FALSE	Malassezia_restricta
DNF11_0317	0.5054132540867043	0.18048529411764705	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
