species	MHS475	MHS474	MHS473	MHS477	MHS476	MHS499	MHS498	MHS497	MHS501	MHS484	MHS483	MHS486	MHS485	MHS504	MHS503	MHS502	MHS505	MHS508	MHS507	MHS448	MHS447	MHS446	MHS450	MHS449	MHS592	MHS513	MHS452	MHS451	MHS454	MHS453	MHS517	MHS521	MHS493	MHS492	MHS495	MHS525	MHS523	MHS530	MHS529	MHS528	MHS532	MHS531	MHS457	MHS456	MHS455	MHS459	MHS458	MHS540	MHS539	MHS538	MHS542	MHS541	MHS480	MHS479	MHS478	MHS482	MHS481	MHS544	MHS543	MHS547	MHS546	MHS461	MHS460	MHS462	MHS567	MHS564	MHS569	MHS568	MHS489	MHS488	MHS487	MHS491	MHS490	MHS549	MHS553	MHS551	MHS465	MHS464	MHS463	MHS467	MHS466	MHS560	MHS469	MHS471	MHS468	MHS472	MHS535	MHS534	MHS533	MHS536	MHS556	MHS555	MHS554	MHS571	MHS572	MHS570	MHS574	MHS573	MHS576	MHS577	MHS575	MHS578
Kosakonia_cowanii	0	0	   4335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus_parainfluenzae	0	0	   1512	  19094	  12045	0	0	0	0	 14195	0	0	 123673	    180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  11709	0	 108057	0	0	  54442	0	0	0	0	0	0	0	  3057	0	0	  2256	  6558	0	0	0	0	0	0	0	0	0	 151498	0	0	0	  13798	0	0	  14442	0	0	  12146	   6832	0	0	0	0	   6605	  4102	0	0	0	0	0	0	   5807	0	0	0	0	 36978	0	0	0	  52883	0	0	0	0	0	0	0	 100741	0	0	0	  13285
Malassezia_dermatis	0	0	    262	0	0	0	0	   2782	0	0	0	0	0	0	0	0	0	    293	  74851	0	0	 112863	0	0	0	   23	0	0	0	0	0	0	0	  20913	0	0	    1085	0	0	0	0	0	0	0	0	0	  2138	  2928	  40593	 137618	0	  10805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   4971	0	0	 10384	   7135	0	0	0	0	0	0	0	0	0	  14315	0	0	0	0	0	0	0	0	0
Staphylococcus_hominis	0	0	0	4538777	  10881	3152788	0	0	 754472	 36674	   2142	 635416	  76730	   9604	  1839	   2802	  40862	0	    520	0	0	0	  3405	   7228	  14608	   22	3591540	0	  38000	  24515	    71	  31888	0	    133	   3885	  40228	0	0	0	0	 691134	   4862	  4802	0	0	  5876	 11237	   292	0	0	  1045	   1431	  19922	0	0	2768672	  22153	    741	0	 1711309	 311856	0	  1924	  23059	    2339	   1339	  18862	  10095	0	0	0	0	0	 51134	 633039	 139625	  9450	0	0	4712919	  63726	0	0	0	0	764149	 39208	0	0	 318706	  3138	0	0	   618	0	   8013	1823372	  28404	  14083	   2842	0	  55718
Staphylococcus_haemolyticus	0	0	0	 305215	0	  16193	0	0	 255549	0	0	  30660	0	0	0	0	0	0	0	0	0	0	  2538	0	0	   12	  83313	0	 123848	   7701	0	  68822	0	0	0	0	0	0	0	0	 225135	0	   672	0	0	  3495	  2199	0	0	0	 14381	0	0	0	0	  83703	0	0	0	   37904	0	0	  3532	  55765	0	0	  14607	0	0	0	0	   7930	0	  2725	  99786	0	0	0	0	  84619	0	0	0	0	0	 15708	0	0	0	   7268	0	0	0	   308	0	0	  91081	   9863	0	0	0	0
Staphylococcus_warneri	0	0	0	  25126	0	0	0	0	  22644	0	0	0	0	0	0	0	0	0	0	0	0	0	  9992	0	0	   47	0	0	 122433	0	    51	  22536	0	0	0	0	0	0	0	0	  38684	0	  1264	0	0	101715	  3768	0	0	0	 52165	0	0	0	0	0	0	    363	0	   39717	0	0	0	  20014	0	0	  13523	0	0	0	0	   7708	0	0	  36826	0	0	0	0	0	   5951	0	0	0	0	 27362	0	0	0	0	0	0	0	0	0	0	  27557	   6858	0	0	0	0
Staphylococcus_sp._M0911	0	0	0	  10390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  6070	0	0	0	0	  1586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  23139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella_parvula	0	0	0	  12548	0	0	0	0	0	  3759	0	0	  31347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  10618	0	0	  27893	0	0	0	0	0	0	0	  2342	0	0	0	  5216	0	0	0	0	0	0	0	0	0	  57928	0	0	0	  42676	0	0	   9098	0	   6147	  13516	  10897	0	0	0	0	   8801	0	0	0	  5825	0	0	0	  11863	0	0	0	0	 23197	0	0	0	  12273	0	0	0	   335	0	0	0	 136779	   7404	0	0	  27848
Deinococcus_wulumuqiensis	0	0	0	  28495	0	0	0	0	0	0	0	0	0	0	0	0	0	  19373	0	0	0	0	121384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 33726	0	  2615	0	0	  1768	  15271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   439	  57221	  15748	0	0	0	0	0	0	0	0	0	0	0	0	  6485	0	0	0	0	0	0	0	0	0	0	0	0	   4473	0	0	  10841
Paracoccus_sanguinis	0	0	0	 166735	0	  36539	0	0	  41758	0	0	  11210	0	0	0	0	0	0	0	  38728	0	0	102648	  24505	0	0	0	0	0	0	0	   8914	0	0	0	0	0	0	0	0	0	   3985	0	0	0	 19015	0	0	0	0	  3350	0	 106583	0	  22724	  12649	  79078	0	0	0	0	0	0	0	0	0	   8943	0	0	0	0	 277150	  12074	 13176	  27941	  58922	  2061	0	0	0	0	0	0	0	0	 12145	0	0	0	0	0	0	0	   321	0	0	0	   6589	   7267	0	0	   9277
Paracoccus_sp._MC1862	0	0	0	  10233	0	  45031	0	   2302	  48145	0	0	  10131	0	0	0	0	0	0	0	  36029	0	0	 36701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  10729	0	0	0	  14551	0	0	0	  7071	0	0	0	  16421	  2135	   3306	  46272	0	   8608	0	  35833	0	0	0	0	0	0	   3974	0	0	   5637	0	0	0	0	 112227	   7865	 29347	  29042	 164808	  2568	0	0	0	0	0	0	0	0	 13078	0	0	0	0	0	0	0	   340	0	0	0	   6702	  15220	0	0	   7446
Paracoccus_yeei	0	0	0	  10796	0	  15134	0	0	  27294	0	0	   6526	0	0	0	0	   9979	0	0	  21113	0	0	 22893	  12531	0	0	0	0	0	0	0	0	0	   7447	  10280	0	0	   8098	0	0	  13015	   8321	   950	0	0	  4329	0	0	0	   4929	  1016	0	 155860	0	  38745	  21194	 148316	0	0	0	   5970	0	0	0	0	0	0	0	0	0	0	  51578	   3667	 21673	  26667	  93908	  3608	0	0	0	   8023	 10080	0	0	0	  5594	0	0	0	0	0	0	0	   672	0	0	0	  16069	  29831	0	0	   7289
Paracoccus_contaminans	0	0	0	   9733	0	0	0	0	  12031	0	0	  36239	0	0	  3784	   4211	  25998	0	0	  24166	0	0	 35392	  12629	   5260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  7533	0	0	0	0	  6745	0	  14289	0	0	0	  11730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 248414	   9852	  5419	  10036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_subflava	0	0	0	  10632	   8216	0	0	0	0	0	0	0	  12951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  89021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   6964	0	0	0	0	0	   4286	0	0	0	0	0	0	0	0	0	0	0	0	 38104	0	0	0	  46205	0	0	0	0	0	0	0	0	   4643	0	0	  19423
Corynebacterium_sp._zg-917	0	0	0	0	  11641	  10652	0	0	0	0	0	0	0	0	0	0	  26558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   830	0	0	0	   3132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  2440	0	0	  8772	0	0	0	  60853	0	0	0	0	0	0	0	0	  38948	0	0	0	   430	0	0	0	   8272	   5553	0	0	  65744
Corynebacterium_imitans	0	0	0	0	  20066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_singulare	0	0	0	0	  17682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   8970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  10011
Corynebacterium_aurimucosum	0	0	0	0	  12133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  5819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   568	0	0	0	  2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_glaucum	0	0	0	0	  11606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_jeikeium	0	0	0	0	  10547	  10365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   6942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  20112	0	0	262083	0	0	0	0	0	0	0	0	0	0	  14197	0	0	0	0	0
Rothia_dentocariosa	0	0	0	0	  10411	0	0	0	0	  3594	   3360	0	  26623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	   9873	0	0	0	0	   8642	0	0	0	0	0	0	0	  3325	0	0	0	  7896	0	0	0	0	0	0	0	0	0	  66075	0	0	0	  62788	0	0	  12916	0	  15044	  15295	  18655	0	0	0	0	   5794	0	0	0	  7413	0	0	0	  11713	  4347	0	0	0	0	   996	0	0	   9058	0	0	0	0	0	0	0	  73971	0	0	0	  11157
Dermabacter_vaginalis	0	0	0	0	  13590	0	0	0	0	0	0	0	0	0	0	0	   7020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacterium_casei	0	0	0	0	   9192	0	0	0	  13138	0	0	0	0	0	0	0	0	0	0	0	0	0	189942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  73444	0	0	0	0	  2872	  2554	0	0	0	  4562	0	  15919	0	0	  59814	  16972	   1909	0	0	  24158	0	0	  41472	0	0	  17583	0	0	0	0	  27256	0	  5256	  12397	  34297	  2790	0	0	0	   8380	  7601	0	0	0	141841	0	0	0	0	0	0	0	   404	0	0	0	   7460	   9597	0	0	  39476
Actinomyces_naeslundii	0	0	0	0	   9028	0	0	0	0	  2018	0	0	  17543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  24678	0	0	0	0	0	0	0	   966	0	0	0	  7806	0	0	0	0	0	0	0	0	0	  59593	0	0	0	  15585	0	0	0	0	  12287	   8642	  14883	0	0	0	0	   6638	0	0	0	  4099	0	0	0	   6767	0	0	0	0	0	0	0	0	   9623	0	0	0	   327	0	0	0	  40133	0	0	0	  15659
