OG	read_count_sum	RPK_sum	LIBID	feature_class	TPM
2ZP3V|Bacteria	2	5.952380952380952	MHS413	bacteria_OG	0.17853243753087006
2ZP8Y|Bacteria	954	1072.8300892782495	MHS413	bacteria_OG	32.177875110411556
2ZPV7|Bacteria	2	7.8431372549019605	MHS413	bacteria_OG	0.23524274121714647
2ZPWG|Bacteria	3	14.285714285714285	MHS413	bacteria_OG	0.4284778500740882
2ZQ2M|Bacteria	2	5.602240896358544	MHS413	bacteria_OG	0.16803052944081892
2ZQ65|Bacteria	2	4.566210045662101	MHS413	bacteria_OG	0.13695639043464009
2ZQC0|Bacteria	53	126.19047619047619	MHS413	bacteria_OG	3.784887675654446
2ZQC2|Bacteria	18	50.31453395740439	MHS413	bacteria_OG	1.5091064336283837
2ZQME|Bacteria	231	1425.9259259259259	MHS413	bacteria_OG	42.7684372573951
2ZQS1|Bacteria	8	16.44322039277658	MHS413	bacteria_OG	0.493188900553392
2ZQU2|Bacteria	6	14.705882352941178	MHS413	bacteria_OG	0.44108013978214966
2ZQWX|Bacteria	33	97.32682086875178	MHS413	bacteria_OG	2.9191670872272066
2ZR1J|Bacteria	1270	1686.5869853917663	MHS413	bacteria_OG	50.58656158245212
2ZR2R|Bacteria	0	0	MHS413	bacteria_OG	0
2ZR3G|Bacteria	19	82.25108225108225	MHS413	bacteria_OG	2.4669936822447505
2ZR52|Bacteria	2651	6586.343791222548	MHS413	bacteria_OG	197.54716992582996
2ZR92|Bacteria	38	49.632453013869274	MHS413	bacteria_OG	1.4886484732900134
2ZRDK|Bacteria	614	2967.3234929110613	MHS413	bacteria_OG	89.00026735018058
2ZRUI|Bacteria	16	24.409838091706835	MHS413	bacteria_OG	0.732135246233379
2ZRV8|Bacteria	3	17.543859649122805	MHS413	bacteria_OG	0.5262008685120381
2ZS64|Bacteria	2	7.662835249042145	MHS413	bacteria_OG	0.22983486210870632
2ZS8U|Bacteria	1	5.46448087431694	MHS413	bacteria_OG	0.16389863117588074
2ZSEJ|Bacteria	124	417.50841750841755	MHS413	bacteria_OG	12.52251763852891
2ZSKV|Bacteria	3	12.5	MHS413	bacteria_OG	0.3749181188148272
2ZSQS|Bacteria	8	32.92181069958848	MHS413	bacteria_OG	0.9874386668374049
2ZSSA|Bacteria	5	22.848935892414154	MHS413	bacteria_OG	0.68531840493636
2ZSWH|Bacteria	427	831.608432424444	MHS413	bacteria_OG	24.94280552600959
2ZTDF|Bacteria	5	12.261098877198705	MHS413	bacteria_OG	0.36775265005135427
2ZTF8|Bacteria	607	1946.503962002007	MHS413	bacteria_OG	58.38236829595203
2ZTFI|Bacteria	6	7.299270072992702	MHS413	bacteria_OG	0.2189302883590232
2ZTH5|Bacteria	18	49.586776859504134	MHS413	bacteria_OG	1.4872784878604715
2ZTS6|Bacteria	21	46.73495518565941	MHS413	bacteria_OG	1.4017425184882142
2ZTSK|Bacteria	12	11.019283746556475	MHS413	bacteria_OG	0.3305063306356604
2ZUB7|Bacteria	65	354.323368691739	MHS413	bacteria_OG	10.627380067363138
2ZUI5|Bacteria	39	191.1764705882353	MHS413	bacteria_OG	5.734041817167945
2ZV99|Bacteria	11	26.570048309178745	MHS413	bacteria_OG	0.79692740231171
2ZVG4|Bacteria	30	32.9004329004329	MHS413	bacteria_OG	0.9867974728979
2ZVGM|Bacteria	115	250.5446623093682	MHS413	bacteria_OG	7.514698677769957
2ZVNZ|Bacteria	74	159.13978494623655	MHS413	bacteria_OG	4.7731511040511325
2ZVT7|Bacteria	4	25.641025641025642	MHS413	bacteria_OG	0.7690628078252866
2ZVUJ|Bacteria	1	5.555555555555555	MHS413	bacteria_OG	0.16663027502881209
2ZW3A|Bacteria	5	9.861932938856016	MHS413	bacteria_OG	0.2957933876251102
2ZW45|Bacteria	9	25.423728813559322	MHS413	bacteria_OG	0.7625453264030383
2ZW9P|Bacteria	59	177.91871921182266	MHS413	bacteria_OG	5.3363961207072
2ZWEC|Bacteria	16	17.858462555046927	MHS413	bacteria_OG	0.5356368948850581
2ZWJV|Bacteria	2	7.168458781362006	MHS413	bacteria_OG	0.21500680648878975
2ZWTE|Bacteria	58	195.37824474125478	MHS413	bacteria_OG	5.860067518058732
2ZWTH|Bacteria	2	3.992015968063872	MHS413	bacteria_OG	0.11973432936202065
2ZWUV|Bacteria	108	71.93700906777671	MHS413	bacteria_OG	2.157639049028481
2ZXC3|Bacteria	175	293.0070754931935	MHS413	bacteria_OG	8.788292923467372
2ZXMC|Bacteria	1	3.3333333333333335	MHS413	bacteria_OG	0.09997816501728725
2ZY3R|Bacteria	29	90.37339226018472	MHS413	bacteria_OG	2.710609777368233
2ZY65|Bacteria	1	4.273504273504273	MHS413	bacteria_OG	0.12817713463754776
2ZYWB|Bacteria	1	4.016064257028113	MHS413	bacteria_OG	0.12045562050275573
2ZZ1I|Bacteria	2	5.649717514124294	MHS413	bacteria_OG	0.16945451697845298
2ZZ9H|Bacteria	4	7.49063670411985	MHS413	bacteria_OG	0.2246700337467129
3002A|Bacteria	9	23.70820668693009	MHS413	bacteria_OG	0.7110909001229548
30063|Bacteria	21	46.05263157894737	MHS413	bacteria_OG	1.3812772798441002
300PP|Bacteria	31	72.7699530516432	MHS413	bacteria_OG	2.1826219123492288
300R1|Bacteria	1112	2862.419485246946	MHS413	bacteria_OG	85.85383429341528
3015S|Bacteria	40	69.43037784262833	MHS413	bacteria_OG	2.08245653194887
301DU|Bacteria	4	9.59232613908873	MHS413	bacteria_OG	0.2877069496900353
301E5|Bacteria	5174	12676.746007774587	MHS413	bacteria_OG	380.21934127425754
301TB|Bacteria	1	3.7037037037037033	MHS413	bacteria_OG	0.11108685001920804
301TW|Bacteria	2	7.49063670411985	MHS413	bacteria_OG	0.2246700337467129
3023D|Bacteria	4	22.316384180790962	MHS413	bacteria_OG	0.6693453420648893
3029I|Bacteria	1	3.4013605442176873	MHS413	bacteria_OG	0.10201853573192578
302A8|Bacteria	841	1738.8545103998447	MHS413	bacteria_OG	52.15424495454297
302HH|Bacteria	2	8.658008658008658	MHS413	bacteria_OG	0.2596835454994474
302JZ|Bacteria	1	5.649717514124294	MHS413	bacteria_OG	0.16945451697845298
302NY|Bacteria	166	406.8627450980392	MHS413	bacteria_OG	12.203217200639473
302WR|Bacteria	3348	9822.411434593345	MHS413	bacteria_OG	294.6080013826388
302XS|Bacteria	82	205.51378446115288	MHS413	bacteria_OG	6.164067316855304
30348|Bacteria	26	41.42857142857143	MHS413	bacteria_OG	1.242585765214856
3034S|Bacteria	3629	8064.11354363866	MHS413	bacteria_OG	241.8705823752141
3037F|Bacteria	174	709.8836028133659	MHS413	bacteria_OG	21.29185799554233
30391|Bacteria	2	9.00900900900901	MHS413	bacteria_OG	0.27021125680347907
303GD|Bacteria	3	12.5	MHS413	bacteria_OG	0.3749181188148272
303QR|Bacteria	8	35.03950532463071	MHS413	bacteria_OG	1.0509556336410133
303R8|Bacteria	11	43.89517292743099	MHS413	bacteria_OG	1.3165676527203167
303RV|Bacteria	66	215.68627450980392	MHS413	bacteria_OG	6.469175383471528
303S0|Bacteria	54	144	MHS413	bacteria_OG	4.319056728746809
303T4|Bacteria	99	87.53315649867373	MHS413	bacteria_OG	2.6254213094725296
303XN|Bacteria	2400	3649.415278384887	MHS413	bacteria_OG	109.45855287569206
3040Q|Bacteria	1	4.694835680751174	MHS413	bacteria_OG	0.1408143169257567
3041H|Bacteria	198	934.9535652655966	MHS413	bacteria_OG	28.04248254948746
3041N|Bacteria	2	3.584229390681003	MHS413	bacteria_OG	0.10750340324439488
3041W|Bacteria	273	202.6726057906459	MHS413	bacteria_OG	6.07885056786624
3042F|Bacteria	1034	5921.691398882603	MHS413	bacteria_OG	177.61195195768062
30437|Bacteria	2	6.410256410256411	MHS413	bacteria_OG	0.19226570195632164
3044W|Bacteria	1	4.273504273504273	MHS413	bacteria_OG	0.12817713463754776
3044Z|Bacteria	1021	6348.272541146943	MHS413	bacteria_OG	190.40659190805076
30450|Bacteria	67	361.8792096721317	MHS413	bacteria_OG	10.854005802277763
30453|Bacteria	195	768.6019636650302	MHS413	bacteria_OG	23.053024186774024
30454|Bacteria	70	355.8689591882673	MHS413	bacteria_OG	10.673737657876455
30457|Bacteria	1270	2623.528947774874	MHS413	bacteria_OG	78.6886830204799
3045K|Bacteria	22	75.60137457044674	MHS413	bacteria_OG	2.2675460107013605
3045M|Bacteria	4	20.13370646766169	MHS413	bacteria_OG	0.6038793082900512
3045R|Bacteria	3064	11957.200164176907	MHS413	bacteria_OG	358.63767934764394
3045W|Bacteria	9	47.56944444444444	MHS413	bacteria_OG	1.4267717299342035
3045X|Bacteria	7	35.115864527629235	MHS413	bacteria_OG	1.0532459095404059
3045Y|Bacteria	152	957.2749257468685	MHS413	bacteria_OG	28.711977147969545
30466|Bacteria	1	5.208333333333333	MHS413	bacteria_OG	0.15621588283951132
30469|Bacteria	4	26.666666666666668	MHS413	bacteria_OG	0.799825320138298
