name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Buttiauxella sp. 3AFRM03	2479367	S	39	6	45	0.00000
Buttiauxella agrestis	82977	S	33	6	39	0.00000
Scandinavium goeteborgense	1851514	S	68	0	68	0.00001
Candidatus Symbiopectobacterium sp. SyEd1	2871826	S	26	0	26	0.00000
Atlantibacter hermannii	565	S	52	0	52	0.00000
Shimwellia blattae	563	S	36	0	36	0.00000
Pseudescherichia vulneris	566	S	36	1	37	0.00000
Phytobacter ursingii	1972431	S	23	4	27	0.00000
Serratia marcescens	615	S	482	35	517	0.00004
Pectobacterium brasiliense	180957	S	42	9	51	0.00000
Pectobacterium carotovorum	554	S	10	3	13	0.00000
Pantoea sp. 201603H	2479547	S	11	15	26	0.00000
Edwardsiella tarda	636	S	59	1	60	0.00000
Morganella morganii	582	S	12	2	14	0.00000
Pseudomonas aeruginosa	287	S	1108267	1870934	2979201	0.24024
Pseudomonas nitroreducens	46680	S	73	13	86	0.00001
Pseudomonas multiresinivorans	95301	S	58	12	70	0.00001
Pseudomonas mendocina	300	S	139	4	143	0.00001
Pseudomonas furukawaii	1149133	S	61	1	62	0.00000
Pseudomonas oleovorans	301	S	22	11	33	0.00000
Pseudomonas citronellolis	53408	S	67	17	84	0.00001
Pseudomonas resinovorans	53412	S	66	3	69	0.00001
Pseudomonas alcaligenes	43263	S	65	1	66	0.00001
Pseudomonas sp. PDNC002	2811422	S	209	22	231	0.00002
Pseudomonas sp. ATCC 13867	1294143	S	128	17	145	0.00001
Pseudomonas sp. K2W31S-8	2320867	S	108	2	110	0.00001
Pseudomonas sp. FDAARGOS_761	2545800	S	102	854	956	0.00008
Pseudomonas sp. CC6-YY-74	1930532	S	92	0	92	0.00001
Pseudomonas sp. SCB32	2653853	S	85	8	93	0.00001
Pseudomonas sp. DY-1	1755504	S	65	2	67	0.00001
Pseudomonas sp. TCU-HL1	1856685	S	62	2	64	0.00001
Pseudomonas sp. StFLB209	1028989	S	39	0	39	0.00000
Pseudomonas sp. MSPm1	2726956	S	38	3	41	0.00000
Pseudomonas sp. MTM4	2705472	S	34	1	35	0.00000
Pseudomonas sp. ABC1	2748080	S	31	0	31	0.00000
Pseudomonas sp. LPB0260	2614442	S	30	0	30	0.00000
Pseudomonas sp. Pc102	2678261	S	29	77	106	0.00001
Pseudomonas sp. TUM18999	2725477	S	29	78	107	0.00001
Pseudomonas sp. B11D7D	2735906	S	28	1	29	0.00000
Pseudomonas sp. ADPe	2774873	S	26	15	41	0.00000
Pseudomonas sp. SNU WT1	2518644	S	25	2	27	0.00000
Pseudomonas sp. S11A 273	2866277	S	24	1	25	0.00000
Pseudomonas sp. Leaf58	1736226	S	24	1	25	0.00000
Pseudomonas sp. RC3H12	2834406	S	23	17	40	0.00000
Pseudomonas sp. Ost2	2678260	S	23	1	24	0.00000
Pseudomonas sp. p1(2021b)	2874628	S	22	8	30	0.00000
Pseudomonas sp. CMR5c	658630	S	22	3	25	0.00000
Pseudomonas sp. DG56-2	2320270	S	21	0	21	0.00000
Pseudomonas sp. 2hn	2866626	S	21	17	38	0.00000
Pseudomonas sp. S-6-2	1931241	S	21	0	21	0.00000
Pseudomonas sp. 7SR1	1881017	S	20	0	20	0.00000
Pseudomonas sp. DNDY-54	2870860	S	18	0	18	0.00000
Pseudomonas sp. RtIB026	2749999	S	17	14	31	0.00000
Pseudomonas sp. HLS-6	2049589	S	16	0	16	0.00000
Pseudomonas sp. SCS 2-3	2830842	S	14	0	14	0.00000
Pseudomonas sp. SDM007	2812000	S	13	11	24	0.00000
Pseudomonas sp. ADAK18	2730848	S	12	1	13	0.00000
Pseudomonas sp. MRSN12121	1611770	S	12	5	17	0.00000
Pseudomonas sp. LPH1	1898684	S	12	5	17	0.00000
Pseudomonas sp. LAB-08	143813	S	11	1	12	0.00000
Pseudomonas sp. BIGb0427	2724470	S	11	87	98	0.00001
Pseudomonas sp. IB20	1702250	S	11	2	13	0.00000
Pseudomonas sp. M30-35	1981174	S	11	0	11	0.00000
Pseudomonas sp. S34	1573718	S	11	1	12	0.00000
Pseudomonas sp. NS1(2017)	2025658	S	11	1	12	0.00000
Pseudomonas sp. R84	1573712	S	11	9	20	0.00000
Pseudomonas sp. DTU12.3	2073078	S	11	2	13	0.00000
Pseudomonas sp. R2A2	2213057	S	11	20	31	0.00000
Pseudomonas sp. FGI182	1259844	S	11	5	16	0.00000
Pseudomonas sp. OIL-1	2706126	S	11	1	12	0.00000
Pseudomonas sp. ACM7	2052956	S	10	1	11	0.00000
Pseudomonas sp. URMO17WK12:I11	1283291	S	10	8	18	0.00000
Pseudomonas sp. ADAK13	2730847	S	10	1	11	0.00000
Pseudomonas fluorescens	294	S	408	140	548	0.00004
Pseudomonas protegens	380021	S	77	548	625	0.00005
Pseudomonas azotoformans	47878	S	44	5	49	0.00000
Pseudomonas synxantha	47883	S	40	10	50	0.00000
Pseudomonas orientalis	76758	S	24	1	25	0.00000
Pseudomonas tolaasii	29442	S	23	1	24	0.00000
Pseudomonas trivialis	200450	S	20	2	22	0.00000
Pseudomonas rhodesiae	76760	S	19	1	20	0.00000
Pseudomonas poae	200451	S	16	2	18	0.00000
Pseudomonas mucidolens	46679	S	14	0	14	0.00000
Pseudomonas mediterranea	183795	S	13	1	14	0.00000
Pseudomonas corrugata	47879	S	11	2	13	0.00000
Pseudomonas migulae	78543	S	11	0	11	0.00000
Pseudomonas brenneri	129817	S	11	0	11	0.00000
Pseudomonas congelans	200452	S	10	0	10	0.00000
Pseudomonas putida	303	S	388	160	548	0.00004
Pseudomonas oryzihabitans	47885	S	102	3	105	0.00001
Pseudomonas fulva	47880	S	53	6	59	0.00000
Pseudomonas monteilii	76759	S	44	20	64	0.00001
Pseudomonas plecoglossicida	70775	S	14	4	18	0.00000
Pseudomonas stutzeri	316	S	532	37	569	0.00005
Pseudomonas balearica	74829	S	45	2	47	0.00000
Pseudomonas xanthomarina	271420	S	18	0	18	0.00000
Pseudomonas syringae	317	S	55	62	117	0.00001
Pseudomonas viridiflava	33069	S	42	1	43	0.00000
Pseudomonas cichorii	36746	S	23	0	23	0.00000
Pseudomonas coronafaciens	53409	S	17	2	19	0.00000
Pseudomonas asturiensis	1190415	S	13	0	13	0.00000
Pseudomonas chlororaphis	587753	S	173	37	210	0.00002
Pseudomonas lundensis	86185	S	21	0	21	0.00000
Pseudomonas fragi	296	S	10	3	13	0.00000
Pseudomonas knackmussii	65741	S	205	3	208	0.00002
Pseudomonas denitrificans (nom. rej.)	43306	S	133	3	136	0.00001
Pseudomonas otitidis	319939	S	126	2	128	0.00001
Pseudomonas entomophila	312306	S	72	2	74	0.00001
Pseudomonas lalkuanensis	2604832	S	66	0	66	0.00001
Pseudomonas campi	2731681	S	55	0	55	0.00000
Pseudomonas oryzae	1392877	S	55	0	55	0.00000
Pseudomonas psychrotolerans	237610	S	54	1	55	0.00000
Pseudomonas alkylphenolica	237609	S	44	0	44	0.00000
Pseudomonas saudiphocaensis	1499686	S	37	0	37	0.00000
Pseudomonas guangdongensis	1245526	S	37	0	37	0.00000
Pseudomonas qingdaonensis	2056231	S	32	0	32	0.00000
Pseudomonas parafulva	157782	S	31	1	32	0.00000
Pseudomonas fakonensis	2842355	S	30	1	31	0.00000
Pseudomonas eucalypticola	2599595	S	29	0	29	0.00000
Pseudomonas pohangensis	364197	S	29	0	29	0.00000
Pseudomonas marincola	437900	S	29	0	29	0.00000
Pseudomonas sabulinigri	472181	S	28	0	28	0.00000
Pseudomonas vanderleydeniana	2745495	S	28	0	28	0.00000
Pseudomonas xanthosomae	2842356	S	27	1	28	0.00000
Pseudomonas rhizosphaerae	216142	S	26	0	26	0.00000
Pseudomonas frederiksbergensis	104087	S	26	2	28	0.00000
Pseudomonas umsongensis	198618	S	25	0	25	0.00000
Pseudomonas maumuensis	2842354	S	24	2	26	0.00000
Pseudomonas yamanorum	515393	S	23	1	24	0.00000
Pseudomonas muyukensis	2842357	S	22	1	23	0.00000
Pseudomonas sediminis	1691904	S	21	0	21	0.00000
Pseudomonas pelagia	553151	S	21	0	21	0.00000
Pseudomonas moraviensis	321662	S	20	2	22	0.00000
Pseudomonas cremoricolorata	157783	S	19	0	19	0.00000
Pseudomonas gozinkensis	2774461	S	19	2	21	0.00000
Pseudomonas brassicacearum	930166	S	18	20	38	0.00000
Pseudomonas promysalinigenes	485898	S	17	0	17	0.00000
Pseudomonas agarici	46677	S	17	0	17	0.00000
Pseudomonas xinjiangensis	487184	S	16	0	16	0.00000
Pseudomonas xantholysinigenes	2745490	S	16	0	16	0.00000
Pseudomonas sihuiensis	1274359	S	16	3	19	0.00000
Pseudomonas vancouverensis	95300	S	15	0	15	0.00000
Pseudomonas arsenicoxydans	702115	S	15	0	15	0.00000
Pseudomonas koreensis	198620	S	15	2	17	0.00000
Pseudomonas reinekei	395598	S	14	0	14	0.00000
Pseudomonas alvandae	2842348	S	14	0	14	0.00000
Pseudomonas tritici	2745518	S	14	1	15	0.00000
Pseudomonas palleroniana	191390	S	14	0	14	0.00000
Pseudomonas lurida	244566	S	14	0	14	0.00000
Pseudomonas simiae	321846	S	14	0	14	0.00000
Pseudomonas salegens	1434072	S	13	0	13	0.00000
Pseudomonas antarctica	219572	S	12	0	12	0.00000
Pseudomonas thivervalensis	86265	S	11	0	11	0.00000
Pseudomonas taetrolens	47884	S	11	0	11	0.00000
Pseudomonas prosekii	1148509	S	11	0	11	0.00000
Pseudomonas toyotomiensis	554344	S	10	2	12	0.00000
Pseudomonas lini	163011	S	10	0	10	0.00000
Pseudomonas viciae	2505979	S	10	0	10	0.00000
Vibrio anguillarum	55601	S	70	22	92	0.00001
Stenotrophomonas maltophilia	40324	S	19	7	26	0.00000
Rheinheimera sp. F8	1763998	S	29	1	30	0.00000
Pseudoalteromonas sp. THAF3	2587843	S	13	1	14	0.00000
Delftia acidovorans	80866	S	50	22	72	0.00001
Burkholderia gladioli	28095	S	67	23	90	0.00001
Achromobacter deleyi	1353891	S	33	14	47	0.00000
Achromobacter xylosoxidans	85698	S	12	7	19	0.00000
Xylophilus rhododendri	2697032	S	10	0	10	0.00000
Bacillus subtilis	1423	S	13539	285059	298598	0.02408
Bacillus vallismortis	72361	S	6974	10371	17345	0.00140
Bacillus tequilensis	227866	S	4029	365	4394	0.00035
Bacillus mojavensis	72360	S	1812	955	2767	0.00022
Bacillus halotolerans	260554	S	1016	3315	4331	0.00035
Bacillus spizizenii	96241	S	2085	241737	243822	0.01966
Bacillus velezensis	492670	S	851	20840	21691	0.00175
Bacillus amyloliquefaciens	1390	S	189	6579	6768	0.00055
Bacillus siamensis	659243	S	49	239	288	0.00002
Bacillus inaquosorum	483913	S	1281	9391	10672	0.00086
Bacillus atrophaeus	1452	S	700	5834	6534	0.00053
Bacillus paralicheniformis	1648923	S	160	103	263	0.00002
Bacillus licheniformis	1402	S	14	338	352	0.00003
Bacillus sp. MBGLi79	2070759	S	279	1233	1512	0.00012
Bacillus sp. MD-5	2009331	S	241	1486	1727	0.00014
Bacillus sp. PAMC26543	2762329	S	219	2480	2699	0.00022
Bacillus sp. NSP9.1	1071078	S	157	3	160	0.00001
Bacillus sp. JS	1127744	S	131	861	992	0.00008
Bacillus sp. WR11	2448811	S	111	106025	106136	0.00856
Bacillus sp. LJBS17	2859227	S	72	1690	1762	0.00014
Bacillus sp. FJAT-18017	1705566	S	66	0	66	0.00001
Bacillus sp. LJBS06	2809036	S	54	382	436	0.00004
Bacillus sp. HNA3	2585772	S	45	35539	35584	0.00287
Bacillus sp. N3536	2666127	S	26	7	33	0.00000
Bacillus sp. OxB-1	98228	S	18	0	18	0.00000
Bacillus sp. BY2G20	2874282	S	15	0	15	0.00000
Bacillus sp. DSL-17	2567941	S	14	0	14	0.00000
Bacillus sp. THAF10	2587848	S	13	0	13	0.00000
Bacillus intestinalis	1963032	S	946	614866	615812	0.04966
Bacillus cereus	1396	S	269	5037	5306	0.00043
Bacillus mycoides	1405	S	79	28	107	0.00001
Bacillus pseudomycoides	64104	S	44	0	44	0.00000
Bacillus thuringiensis	1428	S	34	3039	3073	0.00025
Bacillus anthracis	1392	S	24	854	878	0.00007
Bacillus glycinifermentans	1664069	S	142	12	154	0.00001
Bacillus fonticola	2728853	S	77	0	77	0.00001
Bacillus altitudinis	293387	S	74	389	463	0.00004
Bacillus safensis	561879	S	75	169	244	0.00002
Bacillus pumilus	1408	S	66	80	146	0.00001
Bacillus gobiensis	1441095	S	49	0	49	0.00000
Bacillus haynesii	1925021	S	41	13	54	0.00000
Bacillus haikouensis	1510468	S	12	17	29	0.00000
Bacillus methanolicus	1471	S	10	2	12	0.00000
Alkalihalobacillus clausii	79880	S	14	1	15	0.00000
Priestia megaterium	1404	S	13	4	17	0.00000
Listeria monocytogenes	1639	S	298570	34331	332901	0.02684
Listeria innocua	1642	S	162	33	195	0.00002
Listeria ivanovii	1638	S	92	2	94	0.00001
Listeria welshimeri	1643	S	75	12	87	0.00001
Listeria seeligeri	1640	S	43	1	44	0.00000
Listeria weihenstephanensis	1006155	S	20	0	20	0.00000
Staphylococcus aureus	1280	S	49405	151033	200438	0.01616
Staphylococcus schweitzeri	1654388	S	168	16	184	0.00001
Staphylococcus simiae	308354	S	113	1	114	0.00001
Staphylococcus sp. MZ8	2836366	S	56	4663	4719	0.00038
Staphylococcus sp. MZ9	2836367	S	16	5874	5890	0.00047
Staphylococcus saprophyticus	29385	S	61	3	64	0.00001
Staphylococcus argenteus	985002	S	39	113	152	0.00001
Staphylococcus epidermidis	1282	S	39	4	43	0.00000
Staphylococcus capitis	29388	S	36	2	38	0.00000
Staphylococcus haemolyticus	1283	S	34	2	36	0.00000
Staphylococcus simulans	1286	S	23	0	23	0.00000
Staphylococcus lugdunensis	28035	S	23	1	24	0.00000
Staphylococcus saccharolyticus	33028	S	23	0	23	0.00000
Staphylococcus hominis	1290	S	22	1	23	0.00000
Staphylococcus pseudintermedius	283734	S	19	3	22	0.00000
Staphylococcus xylosus	1288	S	13	0	13	0.00000
Staphylococcus debuckii	2044912	S	11	0	11	0.00000
Staphylococcus pasteuri	45972	S	11	0	11	0.00000
Staphylococcus arlettae	29378	S	11	0	11	0.00000
Staphylococcus lutrae	155085	S	10	0	10	0.00000
Paenibacillus cellulositrophicus	562959	S	47	17	64	0.00001
Paenibacillus ihbetae	1870820	S	11	10	21	0.00000
Thermobacillus composti	377615	S	12	3	15	0.00000
Enterococcus faecalis	1351	S	367637	17217	384854	0.03103
Enterococcus faecium	1352	S	28	16	44	0.00000
Enterococcus cecorum	44008	S	14	0	14	0.00000
Enterococcus avium	33945	S	14	0	14	0.00000
Limosilactobacillus fermentum	1613	S	358731	10668	369399	0.02979
Limosilactobacillus reuteri	1598	S	46	0	46	0.00000
Limosilactobacillus panis	47493	S	32	0	32	0.00000
Lactiplantibacillus plantarum	1590	S	30	28	58	0.00000
Furfurilactobacillus rossiae	231049	S	29	0	29	0.00000
Lactobacillus delbrueckii	1584	S	16	3	19	0.00000
Actinomyces oris	544580	S	137	12	149	0.00001
Streptomyces lividans	1916	S	10	7	17	0.00000
Prevotella copri	165179	S	10	0	10	0.00000
Cryptococcus neoformans	5207	S	93613	621	94234	0.00760
Cryptococcus gattii VGI	37769	S	90	12	102	0.00001
Malassezia furfur	55194	S	16	5	21	0.00000
Saccharomyces cerevisiae	4932	S	68892	3094	71986	0.00580
Saccharomyces paradoxus	27291	S	410	6	416	0.00003
Saccharomyces eubayanus	1080349	S	60	0	60	0.00000
