name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pontibacillus sp. ALD_SL1	2777185	S	10	1	11	0.00000
Listeria monocytogenes	1639	S	709399	84441	793840	0.15405
Listeria innocua	1642	S	425	84	509	0.00010
Listeria welshimeri	1643	S	228	34	262	0.00005
Listeria ivanovii	1638	S	227	167	394	0.00008
Listeria seeligeri	1640	S	175	7	182	0.00004
Listeria weihenstephanensis	1006155	S	63	0	63	0.00001
Listeria grayi	1641	S	32	0	32	0.00001
Staphylococcus aureus	1280	S	39587	104452	144039	0.02795
Staphylococcus saprophyticus	29385	S	330	17	347	0.00007
Staphylococcus schweitzeri	1654388	S	147	10	157	0.00003
Staphylococcus sp. MZ8	2836366	S	47	2494	2541	0.00049
Staphylococcus sp. MZ9	2836367	S	19	4454	4473	0.00087
Staphylococcus simiae	308354	S	80	0	80	0.00002
Staphylococcus epidermidis	1282	S	64	4	68	0.00001
Staphylococcus argenteus	985002	S	53	97	150	0.00003
Staphylococcus haemolyticus	1283	S	32	2	34	0.00001
Staphylococcus capitis	29388	S	30	2	32	0.00001
Staphylococcus hominis	1290	S	29	1	30	0.00001
Staphylococcus simulans	1286	S	26	0	26	0.00001
Staphylococcus arlettae	29378	S	20	0	20	0.00000
Staphylococcus lugdunensis	28035	S	18	0	18	0.00000
Staphylococcus saccharolyticus	33028	S	15	0	15	0.00000
Staphylococcus pasteuri	45972	S	13	0	13	0.00000
Staphylococcus xylosus	1288	S	13	0	13	0.00000
Staphylococcus debuckii	2044912	S	12	0	12	0.00000
Staphylococcus warneri	1292	S	12	2	14	0.00000
Staphylococcus cohnii	29382	S	11	2	13	0.00000
Staphylococcus caprae	29380	S	10	0	10	0.00000
Actinomyces oris	544580	S	78	6	84	0.00002
Cutibacterium acnes	1747	S	15	0	15	0.00000
Salmonella enterica	28901	S	90795	299003	389798	0.07564
Salmonella bongori	54736	S	304	76	380	0.00007
Salmonella sp. A39	2878546	S	40	636	676	0.00013
Escherichia coli	562	S	46686	345301	391987	0.07607
Escherichia albertii	208962	S	370	59	429	0.00008
Escherichia fergusonii	564	S	287	550	837	0.00016
Escherichia marmotae	1499973	S	276	38	314	0.00006
Escherichia sp. E4742	2044467	S	193	34	227	0.00004
Citrobacter freundii	546	S	188	335	523	0.00010
Citrobacter portucalensis	1639133	S	29	79	108	0.00002
Citrobacter sedlakii	67826	S	16	10	26	0.00001
Citrobacter werkmanii	67827	S	13	18	31	0.00001
Citrobacter sp. RHB25-C09	2742624	S	43	13	56	0.00001
Citrobacter sp. R56	1573676	S	21	2	23	0.00000
Citrobacter farmeri	67824	S	34	5	39	0.00001
Citrobacter amalonaticus	35703	S	28	14	42	0.00001
Citrobacter rodentium	67825	S	19	1	20	0.00000
Citrobacter pasteurii	1563222	S	15	8	23	0.00000
Enterobacter hormaechei	158836	S	115	193	308	0.00006
Enterobacter cloacae	550	S	29	8	37	0.00001
Enterobacter roggenkampii	1812935	S	17	5	22	0.00000
Enterobacter asburiae	61645	S	10	5	15	0.00000
Enterobacter sp. 638	399742	S	17	0	17	0.00000
Enterobacter sp. JUb54	2724468	S	12	0	12	0.00000
Enterobacter sp. RHBSTW-00994	2742676	S	10	0	10	0.00000
Enterobacter sp. E76	2596949	S	10	5	15	0.00000
Shigella boydii	621	S	163	1006	1169	0.00023
Shigella dysenteriae	622	S	131	388	519	0.00010
Shigella flexneri	623	S	124	1521	1645	0.00032
Klebsiella pneumoniae	573	S	107	304	411	0.00008
Klebsiella oxytoca	571	S	19	5	24	0.00000
Klebsiella quasipneumoniae	1463165	S	14	6	20	0.00000
Klebsiella michiganensis	1134687	S	13	7	20	0.00000
Klebsiella aerogenes	548	S	12	0	12	0.00000
Klebsiella variicola	244366	S	10	4	14	0.00000
Leclercia sp. 4-9-1-25	2815358	S	16	1	17	0.00000
Leclercia sp. 29361	2714951	S	13	9	22	0.00000
Leclercia adecarboxylata	83655	S	18	13	31	0.00001
Raoultella ornithinolytica	54291	S	30	38	68	0.00001
Cronobacter dublinensis	413497	S	12	16	28	0.00001
Cedecea neteri	158822	S	24	1	25	0.00000
Cedecea sp. FDAARGOS_727	2545798	S	10	0	10	0.00000
[Enterobacter] lignolyticus	1334193	S	14	0	14	0.00000
Pluralibacter gergoviae	61647	S	13	0	13	0.00000
Kluyvera intermedia	61648	S	11	4	15	0.00000
Lelliottia amnigena	61646	S	20	0	20	0.00000
Jejubacter calystegiae	2579935	S	19	0	19	0.00000
Yokenella regensburgei	158877	S	18	0	18	0.00000
Scandinavium goeteborgense	1851514	S	16	0	16	0.00000
Atlantibacter hermannii	565	S	13	0	13	0.00000
Shimwellia blattae	563	S	10	0	10	0.00000
Serratia marcescens	615	S	82	7	89	0.00002
Pseudomonas aeruginosa	287	S	54084	143121	197205	0.03827
Pseudomonas fluorescens	294	S	28	17	45	0.00001
Pseudomonas putida	303	S	26	34	60	0.00001
Pseudomonas stutzeri	316	S	25	3	28	0.00001
Moraxella osloensis	34062	S	11	1	12	0.00000
Vibrio anguillarum	55601	S	64	8	72	0.00001
Saccharomyces cerevisiae	4932	S	22760	2002	24762	0.00481
Saccharomyces paradoxus	27291	S	150	2	152	0.00003
Saccharomyces eubayanus	1080349	S	47	0	47	0.00001
Cryptococcus neoformans	5207	S	17859	336	18195	0.00353
Cryptococcus gattii VGI	37769	S	49	21	70	0.00001
Malassezia furfur	55194	S	19	10	29	0.00001
Homo sapiens	9606	S	13	0	13	0.00000
