name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas sabulinigri	472181	S	38	0	38	0.00000
Pseudomonas promysalinigenes	485898	S	38	0	38	0.00000
Pseudomonas umsongensis	198618	S	38	0	38	0.00000
Pseudomonas moraviensis	321662	S	37	4	41	0.00000
Pseudomonas fakonensis	2842355	S	36	1	37	0.00000
Pseudomonas agarici	46677	S	35	0	35	0.00000
Pseudomonas yamanorum	515393	S	34	1	35	0.00000
Pseudomonas koreensis	198620	S	33	3	36	0.00000
Pseudomonas lurida	244566	S	32	1	33	0.00000
Pseudomonas xantholysinigenes	2745490	S	32	1	33	0.00000
Pseudomonas xanthosomae	2842356	S	32	1	33	0.00000
Pseudomonas muyukensis	2842357	S	31	1	32	0.00000
Pseudomonas xinjiangensis	487184	S	28	0	28	0.00000
Pseudomonas pelagia	553151	S	27	0	27	0.00000
Pseudomonas alcaliphila	101564	S	27	5	32	0.00000
Pseudomonas maumuensis	2842354	S	26	2	28	0.00000
Pseudomonas toyotomiensis	554344	S	25	6	31	0.00000
Pseudomonas zhaodongensis	1176257	S	23	1	24	0.00000
Pseudomonas simiae	321846	S	22	0	22	0.00000
Pseudomonas vancouverensis	95300	S	22	0	22	0.00000
Pseudomonas alvandae	2842348	S	21	0	21	0.00000
Pseudomonas sihuiensis	1274359	S	21	4	25	0.00000
Pseudomonas prosekii	1148509	S	20	0	20	0.00000
Pseudomonas silesiensis	1853130	S	20	0	20	0.00000
Pseudomonas graminis	158627	S	20	1	21	0.00000
Pseudomonas litoralis	797277	S	19	0	19	0.00000
Pseudomonas thivervalensis	86265	S	19	0	19	0.00000
Pseudomonas arsenicoxydans	702115	S	18	0	18	0.00000
Pseudomonas extremaustralis	359110	S	18	0	18	0.00000
Pseudomonas granadensis	1421430	S	18	2	20	0.00000
Pseudomonas antarctica	219572	S	18	0	18	0.00000
Pseudomonas taetrolens	47884	S	17	0	17	0.00000
Pseudomonas psychrophila	122355	S	17	0	17	0.00000
Pseudomonas iranensis	2745503	S	17	4	21	0.00000
Pseudomonas hamedanensis	2745504	S	17	0	17	0.00000
Pseudomonas gozinkensis	2774461	S	16	1	17	0.00000
Pseudomonas asgharzadehiana	2842349	S	15	0	15	0.00000
Pseudomonas palleroniana	191390	S	15	0	15	0.00000
Pseudomonas lini	163011	S	15	0	15	0.00000
Pseudomonas allokribbensis	2774460	S	14	1	15	0.00000
Pseudomonas khazarica	2502979	S	14	5	19	0.00000
Pseudomonas reinekei	395598	S	14	0	14	0.00000
Pseudomonas versuta	1788301	S	13	0	13	0.00000
Pseudomonas salegens	1434072	S	13	0	13	0.00000
Pseudomonas viciae	2505979	S	12	0	12	0.00000
Pseudomonas zeae	2745510	S	12	1	13	0.00000
Pseudomonas anuradhapurensis	485870	S	11	2	13	0.00000
Pseudomonas salmasensis	2745514	S	10	1	11	0.00000
Acinetobacter pittii	48296	S	56	3	59	0.00001
Salmonella enterica	28901	S	14497	33197	47694	0.00545
Salmonella bongori	54736	S	35	1	36	0.00000
Escherichia coli	562	S	4829	31140	35969	0.00411
Escherichia albertii	208962	S	40	10	50	0.00001
Escherichia fergusonii	564	S	31	747	778	0.00009
Escherichia marmotae	1499973	S	27	6	33	0.00000
Escherichia sp. E4742	2044467	S	26	7	33	0.00000
Citrobacter sedlakii	67826	S	28	11	39	0.00000
Citrobacter freundii	546	S	17	20	37	0.00000
Citrobacter portucalensis	1639133	S	15	24	39	0.00000
Enterobacter hormaechei	158836	S	16	31	47	0.00001
Enterobacter sp. E76	2596949	S	14	1	15	0.00000
Shigella flexneri	623	S	19	255	274	0.00003
Shigella dysenteriae	622	S	18	43	61	0.00001
Shigella boydii	621	S	11	63	74	0.00001
Klebsiella pneumoniae	573	S	13	62	75	0.00001
Kosakonia oryzae	497725	S	13	4	17	0.00000
Stenotrophomonas maltophilia	40324	S	24	4	28	0.00000
Vibrio anguillarum	55601	S	56	2	58	0.00001
Achromobacter xylosoxidans	85698	S	130	39	169	0.00002
Achromobacter deleyi	1353891	S	129	27	156	0.00002
Achromobacter sp. B7	2282475	S	41	1	42	0.00000
Alcaligenes faecalis	511	S	22	0	22	0.00000
Delftia acidovorans	80866	S	105	35	140	0.00002
Burkholderia gladioli	28095	S	126	19	145	0.00002
Listeria monocytogenes	1639	S	3379747	354682	3734429	0.42665
Listeria innocua	1642	S	1721	316	2037	0.00023
Listeria ivanovii	1638	S	917	1194	2111	0.00024
Listeria welshimeri	1643	S	859	123	982	0.00011
Listeria seeligeri	1640	S	649	25	674	0.00008
Listeria weihenstephanensis	1006155	S	203	0	203	0.00002
Listeria grayi	1641	S	83	0	83	0.00001
Listeria sp. PSOL-1	1844999	S	27	0	27	0.00000
Bacillus subtilis	1423	S	1210	24787	25997	0.00297
Bacillus vallismortis	72361	S	668	882	1550	0.00018
Bacillus tequilensis	227866	S	397	25	422	0.00005
Bacillus mojavensis	72360	S	158	74	232	0.00003
Bacillus halotolerans	260554	S	131	382	513	0.00006
Bacillus spizizenii	96241	S	186	26327	26513	0.00303
Bacillus velezensis	492670	S	77	1624	1701	0.00019
Bacillus amyloliquefaciens	1390	S	18	3939	3957	0.00045
Bacillus inaquosorum	483913	S	114	317	431	0.00005
Bacillus atrophaeus	1452	S	70	1835	1905	0.00022
Bacillus cereus	1396	S	187	3056	3243	0.00037
Bacillus mycoides	1405	S	60	21	81	0.00001
Bacillus thuringiensis	1428	S	16	73	89	0.00001
Bacillus sp. MBGLi79	2070759	S	26	106	132	0.00002
Bacillus sp. PAMC26543	2762329	S	24	243	267	0.00003
Bacillus sp. MD-5	2009331	S	21	122	143	0.00002
Bacillus sp. NSP9.1	1071078	S	12	0	12	0.00000
Bacillus sp. JS	1127744	S	10	62	72	0.00001
Bacillus intestinalis	1963032	S	87	50757	50844	0.00581
Bacillus glycinifermentans	1664069	S	16	1	17	0.00000
Bacillus altitudinis	293387	S	10	47	57	0.00001
Bacillus pumilus	1408	S	10	11	21	0.00000
Bacillus haynesii	1925021	S	10	3	13	0.00000
Pontibacillus sp. ALD_SL1	2777185	S	21	2	23	0.00000
Rossellomorea marisflavi	189381	S	10	0	10	0.00000
Staphylococcus pseudintermedius	283734	S	24	0	24	0.00000
Staphylococcus aureus	1280	S	23	22	45	0.00001
Planococcus halocryophilus	1215089	S	16	1	17	0.00000
Limosilactobacillus fermentum	1613	S	1770	79	1849	0.00021
Furfurilactobacillus rossiae	231049	S	76	1	77	0.00001
Enterococcus faecalis	1351	S	383	78	461	0.00005
Enterococcus avium	33945	S	12	3	15	0.00000
Enterococcus faecium	1352	S	11	48	59	0.00001
Actinomyces oris	544580	S	129	20	149	0.00002
Saccharomyces cerevisiae	4932	S	57539	2306	59845	0.00684
Saccharomyces paradoxus	27291	S	280	4	284	0.00003
Saccharomyces eubayanus	1080349	S	53	0	53	0.00001
Cryptococcus neoformans	5207	S	54	0	54	0.00001
