logFC	logCPM	F	PValue	feature	contrast
2.8717225427104154	3.099514048565534	1.146746435721244	0.28423164021210073	3Q6YN	Ch_vs_Vf
-1.7410500465349679	4.413758708008328	-2.2027314676079203e-8	1	3NWQH	Ch_vs_Vf
2.232022668985659	3.866379511815643	0.0961766427392839	0.7564670639179141	3NXT2	Ch_vs_Vf
-5.052841830536375	3.059579608571387	2.686213674054591	0.10122052731938465	3NY02	Ch_vs_Vf
2.6399820294870633	1.4741538302378945	0.03604142932083316	0.8494300170217206	3NY1I	Ch_vs_Vf
1.8306445014387216	3.001943553802449	4.9340246117577546e-8	0.9998227686445901	3NY42	Ch_vs_Vf
0.8479362724039445	2.4779486241135924	0.026734770376220875	0.8701187523119169	3NYD0	Ch_vs_Vf
1.240744879740451	2.3584821182988382	1.4080155444691936e-8	0.9999053231869925	3NYP7	Ch_vs_Vf
-3.6021019012461646	3.619107046759245	2.1207670526384963e-8	0.9998838052812662	3P02B	Ch_vs_Vf
2.20602900505466	1.763275129343908	4.931732923711466e-8	0.9998228098083637	3P0JS	Ch_vs_Vf
-5.911896035134988	1.5077507159272352	1.5408299112710255e-8	0.9999009584893608	3P1HD	Ch_vs_Vf
-3.6490685876945017	2.0774536438749363	1.704697165729043e-8	0.9998958249961989	3P49R	Ch_vs_Vf
-2.458796942623029	3.5877604079397245	-9.675997667886714e-9	1	3Q3PY	Ch_vs_Vf
3.513254385799252	3.899182441039356	4.758555960728095	0.02915332762664084	3Q3WV	Ch_vs_Vf
1.1869979090953675	2.074478230985514	-1.2928303984177957e-9	1	3NTW1	Ch_vs_Vf
2.0611467174150553	2.3855440662990928	0.9503861004872253	0.32962137449141216	3NU0I	Ch_vs_Vf
2.152486944486945	3.9876464521046486	3.6334076656340475	0.056631160877781375	3NU7P	Ch_vs_Vf
2.50662085993343	3.579072808643765	0.23185614106552224	0.6301510805988104	3NU7Z	Ch_vs_Vf
5.73941222349944	2.189696509722379	2.1234472629319217	0.14506016800564633	3NU83	Ch_vs_Vf
1.6077647183231636	3.164969965026884	0.3878612136535911	0.5334259889362525	3NUC9	Ch_vs_Vf
1.9473034125392954	1.8554460708033143	0.5313383800875837	0.46604496305763976	3NUDX	Ch_vs_Vf
5.527266557370076	3.6488349499265573	0.011561480336449607	0.9143730598672952	3NUEG	Ch_vs_Vf
3.0166808969404055	1.9486605662593848	-1.436549383760621e-9	1	3NUTJ	Ch_vs_Vf
-1.7315929343489684	4.332327561429397	1.856194351912302	0.17306510744489595	3NUTX	Ch_vs_Vf
1.558123149440483	3.3724819300760664	0.29036446572916186	0.5899872377561819	3NUXP	Ch_vs_Vf
2.5531482445042193	7.8141200872234675	0.36277092971294594	0.5469715397159447	3NUZ7	Ch_vs_Vf
1.8999090907352694	3.0119415220806762	1.2770470084643732	0.2584492034280071	3NV1P	Ch_vs_Vf
0.5853702957869068	2.084439501612974	0.0023032038812312674	0.9617228660086536	3NVKS	Ch_vs_Vf
3.984412755280781	2.3221623169391217	-4.845380377505949e-9	1	3NVQS	Ch_vs_Vf
-0.1539224724846651	3.9366921603912073	0.008596967464306868	0.9261261667733827	3NVUK	Ch_vs_Vf
3.179473156658348	7.5450061614055715	2.9335497670687185	0.08675698532183759	3NVWR	Ch_vs_Vf
4.909126512129108	3.0554363086910685	0.7991231912271679	0.3713559570499896	3NVY1	Ch_vs_Vf
0.8877376396234452	4.96060609071502	0.7874455050242394	0.3748739723734388	3NW0M	Ch_vs_Vf
0.21873518898333313	4.486328417214542	0.02731918854400517	0.8687195758732141	3NW3T	Ch_vs_Vf
4.159304352816729	2.9157148648920437	-2.4602790281137016e-8	1	3NW67	Ch_vs_Vf
1.012110954856251	3.382823182091867	0.5586738947458076	0.4547952950810542	3NWAH	Ch_vs_Vf
-2.888863975550823	0.3986403665344232	2.580677568463717e-9	0.9999594671837465	3NWBV	Ch_vs_Vf
4.244376096146447	1.3934182853800847	0.7679063054524744	0.38086583393606244	3NWEY	Ch_vs_Vf
4.899955704897403	3.3990940780825127	3.1156243714673745e-8	0.9998591643992661	3NWTD	Ch_vs_Vf
-1.3482007990472447	4.025205315383856	0.6574751239702851	0.41745301227818143	3NWVA	Ch_vs_Vf
1.13575067928214	2.586927091135924	0.5351677504168637	0.46444254046015043	3NWVC	Ch_vs_Vf
1.0361349304113678	3.052072044137856	0.5686385815692114	0.4508006686742406	3NWXM	Ch_vs_Vf
0.0026871502532095303	4.60878500080705	0.9263408173433836	0.3358159018463861	3NWZY	Ch_vs_Vf
4.2277044425544705	2.478574619273514	2.9500105282868284e-8	0.9998629586312984	3NX3Q	Ch_vs_Vf
3.2889134024895865	3.334171108491459	0.0691249789034821	0.7926151726139102	3NX78	Ch_vs_Vf
1.1851834783166653	3.4801093284211753	1.0207814563734767	0.3123340657844114	3NX7C	Ch_vs_Vf
1.6915621858217238	3.723568242280352	0.43373884012005737	0.5101602522666964	3NXAW	Ch_vs_Vf
3.0110238240550897	4.73881840647072	1.5813942904964073	0.20856039023305248	3NXDP	Ch_vs_Vf
5.5068592618614005	2.7318889502669474	6.012468466147535	0.014205384171457804	3NXJR	Ch_vs_Vf
