TYPE	ACCESSION	ALIAS
EXPERIMENT	ERX14354352	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:136-85361
EXPERIMENT	ERX14354353	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:137-85363
EXPERIMENT	ERX14354354	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:137-85365
EXPERIMENT	ERX14354355	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:137-85367
EXPERIMENT	ERX14354356	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:138-85369
EXPERIMENT	ERX14354357	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:138-85371
EXPERIMENT	ERX14354358	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:138-85373
EXPERIMENT	ERX14354359	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:139-85375
EXPERIMENT	ERX14354360	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:139-85377
EXPERIMENT	ERX14354361	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:139-85379
EXPERIMENT	ERX14354362	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:140-85381
EXPERIMENT	ERX14354363	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:140-85383
EXPERIMENT	ERX14354364	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:140-85385
EXPERIMENT	ERX14354365	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:141-85387
EXPERIMENT	ERX14354366	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:141-85389
EXPERIMENT	ERX14354367	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:141-85391
EXPERIMENT	ERX14354368	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:142-85393
EXPERIMENT	ERX14354369	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:142-85395
EXPERIMENT	ERX14354370	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:142-85397
EXPERIMENT	ERX14354371	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:143-85399
EXPERIMENT	ERX14354372	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:143-85401
EXPERIMENT	ERX14354373	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:143-85403
EXPERIMENT	ERX14354374	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:144-85405
EXPERIMENT	ERX14354375	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:144-85407
EXPERIMENT	ERX14354376	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:144-85409
EXPERIMENT	ERX14354377	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:145-85411
EXPERIMENT	ERX14354378	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:145-85413
EXPERIMENT	ERX14354379	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:145-85415
EXPERIMENT	ERX14354380	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:146-85417
EXPERIMENT	ERX14354381	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:146-85419
EXPERIMENT	ERX14354382	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:146-85421
EXPERIMENT	ERX14354383	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:147-85423
EXPERIMENT	ERX14354384	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:147-85425
EXPERIMENT	ERX14354385	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:147-85427
EXPERIMENT	ERX14354386	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:148-85429
EXPERIMENT	ERX14354387	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:148-85431
EXPERIMENT	ERX14354388	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:148-85433
EXPERIMENT	ERX14354389	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:149-85435
EXPERIMENT	ERX14354390	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:149-85437
EXPERIMENT	ERX14354391	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:149-85439
EXPERIMENT	ERX14354392	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:150-85441
EXPERIMENT	ERX14354393	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:150-85443
EXPERIMENT	ERX14354394	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:150-85445
EXPERIMENT	ERX14354395	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:151-85447
EXPERIMENT	ERX14354396	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:151-85449
EXPERIMENT	ERX14354397	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:151-85451
EXPERIMENT	ERX14354398	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:152-85453
EXPERIMENT	ERX14354399	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:152-85455
EXPERIMENT	ERX14354400	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:152-85457
EXPERIMENT	ERX14354401	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:152-85459
EXPERIMENT	ERX14354402	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:153-85461
EXPERIMENT	ERX14354403	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:153-85463
EXPERIMENT	ERX14354404	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:153-85465
EXPERIMENT	ERX14354405	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:154-85467
EXPERIMENT	ERX14354406	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:154-85469
EXPERIMENT	ERX14354407	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:154-85471
EXPERIMENT	ERX14354408	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:155-85473
EXPERIMENT	ERX14354409	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:155-85475
EXPERIMENT	ERX14354410	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:155-85477
EXPERIMENT	ERX14354411	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:156-85479
EXPERIMENT	ERX14354412	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:156-85481
EXPERIMENT	ERX14354413	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:156-85483
EXPERIMENT	ERX14354414	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:157-85485
EXPERIMENT	ERX14354415	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:157-85487
EXPERIMENT	ERX14354416	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:157-85489
EXPERIMENT	ERX14354417	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:158-85491
EXPERIMENT	ERX14354418	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:158-85493
EXPERIMENT	ERX14354419	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:158-85495
EXPERIMENT	ERX14354420	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:159-85497
EXPERIMENT	ERX14354421	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:159-85499
EXPERIMENT	ERX14354422	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:159-85501
EXPERIMENT	ERX14354423	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:159-85503
EXPERIMENT	ERX14354424	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:160-85505
EXPERIMENT	ERX14354425	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:160-85507
EXPERIMENT	ERX14354426	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:160-85509
EXPERIMENT	ERX14354427	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:161-85511
EXPERIMENT	ERX14354428	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:161-85513
EXPERIMENT	ERX14354429	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:161-85515
EXPERIMENT	ERX14354430	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:162-85517
EXPERIMENT	ERX14354431	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:162-85519
