TYPE	ACCESSION	ALIAS
SAMPLE	ERS24436285	MHS381_merged
SAMPLE	ERS24436286	MHS382_merged
SAMPLE	ERS24436287	MHS383_merged
SAMPLE	ERS24436288	MHS384_merged
SAMPLE	ERS24436289	MHS385_merged
SAMPLE	ERS24436290	MHS386_merged
SAMPLE	ERS24436291	MHS387_merged
SAMPLE	ERS24436292	MHS388_merged
SAMPLE	ERS24436293	MHS389_merged
SAMPLE	ERS24436294	MHS390_merged
SAMPLE	ERS24436295	MHS391_merged
SAMPLE	ERS24436296	MHS392_merged
SAMPLE	ERS24436297	MHS393_merged
SAMPLE	ERS24436298	MHS394_merged
SAMPLE	ERS24436299	MHS396_merged
SAMPLE	ERS24436300	MHS397_merged
SAMPLE	ERS24436301	MHS398_merged
SAMPLE	ERS24436302	MHS399_merged
SAMPLE	ERS24436303	MHS402_merged
SAMPLE	ERS24436304	MHS403_merged
SAMPLE	ERS24436305	MHS404_merged
SAMPLE	ERS24436306	MHS405_merged
SAMPLE	ERS24436307	MHS407_merged
SAMPLE	ERS24436308	MHS408_merged
SAMPLE	ERS24436309	MHS409_merged
SAMPLE	ERS24436310	MHS410_merged
SAMPLE	ERS24436311	MHS411_merged
SAMPLE	ERS24436312	MHS412_merged
SAMPLE	ERS24436313	MHS413_merged
SAMPLE	ERS24436314	MHS414_merged
SAMPLE	ERS24436315	MHS415_merged
SAMPLE	ERS24436316	MHS416_merged
SAMPLE	ERS24436317	MHS417_merged
SAMPLE	ERS24436318	MHS418_merged
SAMPLE	ERS24436319	MHS419_merged
SAMPLE	ERS24436320	MHS420_merged
SAMPLE	ERS24436321	MHS421_merged
SAMPLE	ERS24436322	MHS422_merged
SAMPLE	ERS24436323	MHS423_merged
SAMPLE	ERS24436324	MHS424_merged
SAMPLE	ERS24436325	MHS425_merged
SAMPLE	ERS24436326	MHS426_merged
SAMPLE	ERS24436327	MHS427_merged
SAMPLE	ERS24436328	MHS428_merged
SAMPLE	ERS24436329	MHS429_merged
SAMPLE	ERS24436330	MHS430_merged
SAMPLE	ERS24436331	MHS431_merged
SAMPLE	ERS24436332	MHS432_merged
SAMPLE	ERS24436333	MHS433_merged
SAMPLE	ERS24436334	MHS434_merged
SAMPLE	ERS24436335	MHS435_merged
SAMPLE	ERS24436336	MHS436_merged
SAMPLE	ERS24436337	MHS437_merged
SAMPLE	ERS24436338	MHS438_merged
SAMPLE	ERS24436339	MHS439_merged
SAMPLE	ERS24436340	MHS440_merged
SAMPLE	ERS24436341	MHS441_merged
SAMPLE	ERS24436342	MHS442_merged
SAMPLE	ERS24436343	MHS443_merged
SAMPLE	ERS24436344	MHS444_merged
SAMPLE	ERS24436345	MHS445_merged
SAMPLE	ERS24436346	MHS446_merged
SAMPLE	ERS24436347	MHS447_merged
SAMPLE	ERS24436348	MHS448_merged
SAMPLE	ERS24436349	MHS449_merged
SAMPLE	ERS24436350	MHS450_merged
SAMPLE	ERS24436351	MHS451_merged
SAMPLE	ERS24436352	MHS452_merged
SAMPLE	ERS24436353	MHS453_merged
SAMPLE	ERS24436354	MHS454_merged
SAMPLE	ERS24436355	MHS455_merged
SAMPLE	ERS24436356	MHS456_merged
SAMPLE	ERS24436357	MHS457_merged
SAMPLE	ERS24436358	MHS458_merged
SAMPLE	ERS24436359	MHS459_merged
SAMPLE	ERS24436360	MHS460_merged
SAMPLE	ERS24436361	MHS461_merged
SAMPLE	ERS24436362	MHS462_merged
SAMPLE	ERS24436363	MHS463_merged
SAMPLE	ERS24436364	MHS464_merged
SAMPLE	ERS24436365	MHS465_merged
SAMPLE	ERS24436366	MHS466_merged
SAMPLE	ERS24436367	MHS467_merged
SAMPLE	ERS24436368	MHS468_merged
SAMPLE	ERS24436369	MHS469_merged
SAMPLE	ERS24436370	MHS470_merged
SAMPLE	ERS24436371	MHS471_merged
SAMPLE	ERS24436372	MHS472_merged
SAMPLE	ERS24436373	MHS473_merged
SAMPLE	ERS24436374	MHS474_merged
SAMPLE	ERS24436375	MHS475_merged
SAMPLE	ERS24436376	MHS476_merged
SAMPLE	ERS24436377	MHS477_merged
SAMPLE	ERS24436378	MHS478_merged
SAMPLE	ERS24436379	MHS479_merged
SAMPLE	ERS24436380	MHS480_merged
SAMPLE	ERS24436381	MHS481_merged
SAMPLE	ERS24436382	MHS482_merged
SAMPLE	ERS24436383	MHS483_merged
SAMPLE	ERS24436384	MHS484_merged
SAMPLE	ERS24436385	MHS485_merged
SAMPLE	ERS24436386	MHS486_merged
SAMPLE	ERS24436387	MHS487_merged
SAMPLE	ERS24436388	MHS488_merged
SAMPLE	ERS24436389	MHS489_merged
SAMPLE	ERS24436390	MHS490_merged
SAMPLE	ERS24436391	MHS491_merged
SAMPLE	ERS24436392	MHS492_merged
SAMPLE	ERS24436393	MHS493_merged
SAMPLE	ERS24436394	MHS494_merged
SAMPLE	ERS24436395	MHS495_merged
SAMPLE	ERS24436396	MHS496_merged
SAMPLE	ERS24436397	MHS497_merged
SAMPLE	ERS24436398	MHS498_merged
SAMPLE	ERS24436399	MHS499_merged
SAMPLE	ERS24436400	MHS500_merged
SAMPLE	ERS24436401	MHS501_merged
SAMPLE	ERS24436402	MHS502_merged
SAMPLE	ERS24436403	MHS503_merged
SAMPLE	ERS24436404	MHS504_merged
SAMPLE	ERS24436405	MHS505_merged
SAMPLE	ERS24436406	MHS506_merged
SAMPLE	ERS24436407	MHS507_merged
SAMPLE	ERS24436408	MHS508_merged
SAMPLE	ERS24436409	MHS509_merged
SAMPLE	ERS24436410	MHS510_merged
SAMPLE	ERS24436411	MHS511_merged
SAMPLE	ERS24436412	MHS513_merged
SAMPLE	ERS24436413	MHS514_merged
SAMPLE	ERS24436414	MHS515_merged
SAMPLE	ERS24436415	MHS516_merged
SAMPLE	ERS24436416	MHS517_merged
SAMPLE	ERS24436417	MHS518_merged
SAMPLE	ERS24436418	MHS519_merged
SAMPLE	ERS24436419	MHS520_merged
SAMPLE	ERS24436420	MHS521_merged
SAMPLE	ERS24436421	MHS522_merged
SAMPLE	ERS24436422	MHS523_merged
SAMPLE	ERS24436423	MHS524_merged
SAMPLE	ERS24436424	MHS525_merged
SAMPLE	ERS24436425	MHS526_merged
SAMPLE	ERS24436426	MHS527_merged
SAMPLE	ERS24436427	MHS528_merged
SAMPLE	ERS24436428	MHS529_merged
SAMPLE	ERS24436429	MHS530_merged
SAMPLE	ERS24436430	MHS531_merged
SAMPLE	ERS24436431	MHS532_merged
SAMPLE	ERS24436432	MHS533_merged
SAMPLE	ERS24436433	MHS534_merged
SAMPLE	ERS24436434	MHS535_merged
SAMPLE	ERS24436435	MHS536_merged
SAMPLE	ERS24436436	MHS537_merged
SAMPLE	ERS24436437	MHS538_merged
SAMPLE	ERS24436438	MHS539_merged
SAMPLE	ERS24436439	MHS540_merged
SAMPLE	ERS24436440	MHS541_merged
SAMPLE	ERS24436441	MHS542_merged
SAMPLE	ERS24436442	MHS543_merged
SAMPLE	ERS24436443	MHS544_merged
SAMPLE	ERS24436444	MHS545_merged
SAMPLE	ERS24436445	MHS546_merged
SAMPLE	ERS24436446	MHS547_merged
SAMPLE	ERS24436447	MHS548_merged
SAMPLE	ERS24436448	MHS549_merged
SAMPLE	ERS24436449	MHS550_merged
SAMPLE	ERS24436450	MHS551_merged
SAMPLE	ERS24436451	MHS552_merged
SAMPLE	ERS24436452	MHS553_merged
SAMPLE	ERS24436453	MHS554_merged
SAMPLE	ERS24436454	MHS555_merged
SAMPLE	ERS24436455	MHS556_merged
SAMPLE	ERS24436456	MHS557_merged
SAMPLE	ERS24436457	MHS558_merged
SAMPLE	ERS24436458	MHS559_merged
SAMPLE	ERS24436459	MHS560_merged
SAMPLE	ERS24436460	MHS561_merged
SAMPLE	ERS24436461	MHS562_merged
SAMPLE	ERS24436462	MHS563_merged
SAMPLE	ERS24436463	MHS564_merged
SAMPLE	ERS24436464	MHS565_merged
SAMPLE	ERS24436465	MHS566_merged
SAMPLE	ERS24436466	MHS567_merged
SAMPLE	ERS24436467	MHS568_merged
SAMPLE	ERS24436468	MHS569_merged
SAMPLE	ERS24436469	MHS570_merged
SAMPLE	ERS24436470	MHS571_merged
SAMPLE	ERS24436471	MHS572_merged
SAMPLE	ERS24436472	MHS573_merged
SAMPLE	ERS24436473	MHS574_merged
SAMPLE	ERS24436474	MHS575_merged
SAMPLE	ERS24436475	MHS576_merged
SAMPLE	ERS24436476	MHS577_merged
SAMPLE	ERS24436477	MHS578_merged
SAMPLE	ERS24436478	MHS579_merged
SAMPLE	ERS24436479	MHS580_merged
SAMPLE	ERS24436480	MHS581_merged
SAMPLE	ERS24436481	MHS582_merged
SAMPLE	ERS24436482	MHS583_merged
SAMPLE	ERS24436483	MHS584_merged
SAMPLE	ERS24436484	MHS585_merged
SAMPLE	ERS24436485	MHS586_merged
SAMPLE	ERS24436486	MHS587_merged
SAMPLE	ERS24436487	MHS588_merged
SAMPLE	ERS24436488	MHS589_merged
SAMPLE	ERS24436489	MHS590_merged
SAMPLE	ERS24436490	MHS593_merged
SAMPLE	ERS24436491	MHS594_merged
SAMPLE	ERS24436492	MHS598_merged
SAMPLE	ERS24436493	MHS602_merged
SAMPLE	ERS24436494	MHS592_merged
SAMPLE	ERS24436495	MMM334_merged
SAMPLE	ERS24436496	MMM335_merged
SAMPLE	ERS24436497	MMM336_merged
SAMPLE	ERS24436498	MMM339_merged
SAMPLE	ERS24436499	MMM340_merged
SAMPLE	ERS24436500	MMM341_merged
SAMPLE	ERS24436501	Sepi_ctrl1_merged
SAMPLE	ERS24436502	Sepi_ctrl2_merged
SAMPLE	ERS24436503	Sepi_ctrl3_merged
SAMPLE	ERS24436504	Sepi_OS1_merged
SAMPLE	ERS24436505	Sepi_OS2_merged
SAMPLE	ERS24436506	Sepi_OS3_merged
SAMPLE	ERS24436507	Sepi_SP1_merged
SAMPLE	ERS24436508	Sepi_SP2_merged
SAMPLE	ERS24436509	Sepi_SP3_merged
SAMPLE	ERS24436510	TCH016C
SAMPLE	ERS24436511	TCH017C
SAMPLE	ERS24436512	NU190214
SAMPLE	ERS24436513	NU190827
SAMPLE	ERS24436514	MBM166
SAMPLE	ERS24436515	MBM167
SAMPLE	ERS24436516	MBM168
SAMPLE	ERS24436517	MBM169
SAMPLE	ERS24436518	MBM170
SAMPLE	ERS24436519	MBM171
SUBMISSION	ERA33119674	ena-SUBMISSION-TAB-07-05-2025-08:01:46:869-85457
