virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QBA4|Virus	3	9.433962264150944	S	NA	MHS485	virus_OG
4QBBN|Virus	4	8.843948952841874	S	Siphovirus Gp157	MHS485	virus_OG
4QBBW|Virus	6	19.801980198019802	S	NA	MHS485	virus_OG
4QBCW|Virus	24	71.81411446145017	S	Phage gp6-like head-tail connector protein	MHS485	virus_OG
4QBDC|Virus	21	42.6829268292683	S	Pfam:Phage_holin_4_1	MHS485	virus_OG
4QBF1|Virus	3	6.172839506172839	S	NA	MHS485	virus_OG
4QBF8|Virus	17	15.232974910394264	S	Phage tail protein	MHS485	virus_OG
4QBFR|Virus	5	7.6452599388379205	S	ERF superfamily	MHS485	virus_OG
4QBGM|Virus	8	14.414414414414413	S	deoxyribonucleoside 5'-monophosphate N-glycosidase activity	MHS485	virus_OG
4QBHR|Virus	8	20.356234096692113	S	Thymidine kinase	MHS485	virus_OG
4QBHS|Virus	67	72.27934331894727	S	DNA metabolic process	MHS485	virus_OG
4QBHW|Virus	7	11.326860841423949	S	NA	MHS485	virus_OG
4QBI4|Virus	1	3.584229390681003	S	Pfam:Phage_r1t_holin	MHS485	virus_OG
4QBMM|Virus	16	24.789656319817468	S	NA	MHS485	virus_OG
4QBNU|Virus	68	78.38985044846638	S	NA	MHS485	virus_OG
4QBPB|Virus	47	54.71023040025163	S	NA	MHS485	virus_OG
4QBSI|Virus	238	106.04968747284873	S	NA	MHS485	virus_OG
4QBSJ|Virus	11	21.66741640425851	S	DNA primase activity	MHS485	virus_OG
4QBV3|Virus	84	50.30648911435214	S	Phage Terminase	MHS485	virus_OG
4QBXB|Virus	24	41.23711340206186	S	Phage minor structural protein GP20	MHS485	virus_OG
4QBY2|Virus	1	3.4722222222222223	S	Recombination protein U	MHS485	virus_OG
4QC1Z|Virus	61	54.97403523062825	S	Terminase-like family	MHS485	virus_OG
4QC5Z|Virus	71	75.61796676978999	S	Phage Mu protein F like protein	MHS485	virus_OG
4QC81|Virus	15	35.97122302158274	S	NA	MHS485	virus_OG
4QCBM|Virus	20	54.86111111111111	S	Pfam:Phage_TAC_5	MHS485	virus_OG
4QCCB|Virus	17	36.370953193733264	S	Pfam:Peptidase_M78	MHS485	virus_OG
4QCCS|Virus	6	20.907210401891252	S	Bacteriophage holin	MHS485	virus_OG
4QCDZ|Virus	6	16	S	Protein of unknown function (DUF1273)	MHS485	virus_OG
4QCR1|Virus	145	99.06292654820355	S	Late Protein L2	MHS485	virus_OG
4QCR9|Virus	3	7.042253521126761	S	NA	MHS485	virus_OG
4QCS8|Virus	10	25.44529262086514	S	NA	MHS485	virus_OG
4QCX3|Virus	2	6.802721088435375	S	NA	MHS485	virus_OG
4QD36|Virus	7	12.750455373406192	S	Toprim-like	MHS485	virus_OG
4QD40|Virus	3	10.75268817204301	S	NA	MHS485	virus_OG
4QD4R|Virus	4	7.619047619047619	S	Protein of unknown function (DUF3268)	MHS485	virus_OG
4QDBK|Virus	13	39.043356958757975	S	NA	MHS485	virus_OG
4QDBN|Virus	7	5.691056910569106	S	NA	MHS485	virus_OG
4QDCX|Virus	13	39.39393939393939	S	NA	MHS485	virus_OG
4QDJ3|Virus	11	14.55026455026455	S	NA	MHS485	virus_OG
4QDKP|Virus	9	15.824830649014814	S	transaminase activity	MHS485	virus_OG
4QDQV|Virus	72	82.51943502763318	S	E2 (early) protein, N terminal	MHS485	virus_OG
4QDTS|Virus	6	6.688963210702341	S	Domain of unknown function (DUF4393)	MHS485	virus_OG
4QDU7|Virus	2	5.649717514124294	S	Staphylococcal nuclease homologue	MHS485	virus_OG
4QDV8|Virus	6	12.5	S	NA	MHS485	virus_OG
4QDW3|Virus	15	47.61904761904762	S	Phage Connector (GP10)	MHS485	virus_OG
4QDY5|Virus	2	7.491582491582491	S	NA	MHS485	virus_OG
4QE0Y|Virus	16	25.764895330112722	S	Pfam:Gamma_PGA_hydro	MHS485	virus_OG
4QE1H|Virus	16	47.22222222222222	S	NA	MHS485	virus_OG
4QE6Q|Virus	4	6.734006734006734	S	NA	MHS485	virus_OG
4QE7B|Virus	106	105.17250997127158	S	metallocarboxypeptidase activity	MHS485	virus_OG
4QEE4|Virus	2	4.140786749482402	S	NA	MHS485	virus_OG
4QENQ|Virus	16	54.421768707483	S	NA	MHS485	virus_OG
4QERS|Virus	9	27.77777777777778	S	NA	MHS485	virus_OG
4QESX|Virus	3	8.130081300813009	S	NA	MHS485	virus_OG
4QETC|Virus	30	19.49317738791423	S	NA	MHS485	virus_OG
4QEZU|Virus	151	98.71238151600883	S	L1 (late) protein	MHS485	virus_OG
4QF51|Virus	61	70.25193798449612	S	NA	MHS485	virus_OG
4QFAM|Virus	16	19.32367149758454	S	NA	MHS485	virus_OG
4QFB2|Virus	2	10.92896174863388	S	NA	MHS485	virus_OG
4QFFV|Virus	1	3.875968992248062	S	NA	MHS485	virus_OG
4QFHC|Virus	32	21.592442645074225	S	NA	MHS485	virus_OG
4QFMI|Virus	5	16.33986928104575	S	PD-(D/E)XK nuclease superfamily	MHS485	virus_OG
4QFU3|Virus	21	32.55813953488372	S	NA	MHS485	virus_OG
4QFW6|Virus	7	12.089810017271159	S	NA	MHS485	virus_OG
4QG1E|Virus	18	29.93643128172276	S	NA	MHS485	virus_OG
4QG2D|Virus	208	106.65406278309504	S	NA	MHS485	virus_OG
4QG9U|Virus	26	13.800424628450108	S	NA	MHS485	virus_OG
4QGJD|Virus	2	8.959622752726201	S	NA	MHS485	virus_OG
4QGQN|Virus	143	81.75067423209828	L	Papillomavirus helicase	MHS485	virus_OG
4QGRU|Virus	2	7.168458781362006	S	NA	MHS485	virus_OG
4QGU5|Virus	19	21.839080459770116	S	NA	MHS485	virus_OG
4QGVM|Virus	41	115.81920903954803	S	NA	MHS485	virus_OG
4QGWQ|Virus	1	5.649717514124294	S	NA	MHS485	virus_OG
4QH25|Virus	10	7.880220646178094	S	Phage terminase large subunit	MHS485	virus_OG
4QH4R|Virus	8	21.85792349726776	S	Pfam:Phi29_Phage_SSB	MHS485	virus_OG
4QH9H|Virus	21	30.172413793103452	S	kinase activity	MHS485	virus_OG
4QHQD|Virus	47	53.88871786371135	S	NA	MHS485	virus_OG
