LIBID	BEFORE_FASTP	AFTER_FASTP	DUP_RATE	BT2_READS_START	PANGENE_ALIGN_RATE	K2_UNCLASSIFIED	K2_CLASSIFIED	MICROBE_COUNT
MHS538	23213215	22610723	0.0973291	6735330	75.29	1553725	5181605	5179656
MHS539	26568104	26051184	0.0891321	10283885	85.14	210313	10073572	10071988
MHS540	26000564	25546299	0.102915	969202	65.86	132191	837011	836360
MHS541	26182985	25676738	0.112677	4702782	56.59	643922	4058860	4056250
MHS542	38381452	37824623	0.0904412	1412845	37.38	482479	930366	928970
MHS543	24183611	23508450	0.12786	13675389	83.94	1541884	12133505	12130571
MHS544	32102156	31575354	0.0859603	1863964	83.63	39770	1824194	1823711
MHS545	21570713	20911217	0.118946	2731161	45.68	378618	2352543	2351532
MHS546	16642126	16143484	0.0938229	5522807	62.71	761699	4761108	4759276
MHS547	28827420	28132008	0.0893883	22172569	80.71	870047	21302522	21298117
MHS548	28049167	27481408	0.122087	20840828	76.67	916527	19924301	19919139
MHS549	26886826	26316435	0.113874	5015095	44.47	777855	4237240	4233815
MHS550	29919084	29426364	0.0754944	12872532	83.94	299156	12573376	12570828
MHS551	32477062	31779180	0.106656	20393103	52.77	3746358	16646745	16630582
MHS552	1390968	1065216	0.218361	655928	44.40	90739	565189	564790
MHS553	17522705	17203979	0.101096	9775829	56.11	1986671	7789158	7782478
MHS554	16506622	16162596	0.0894868	2815787	78.88	515465	2300322	2299694
MHS555	30178217	29784432	0.0871974	10875516	85.22	210511	10665005	10663792
MHS556	18335523	17966374	0.105829	2615680	52.06	232480	2383200	2381786
MHS557	24360351	23897917	0.0932627	5168778	64.09	609621	4559157	4557250
MHS558	18711923	18288452	0.0939712	4799671	40.09	1266489	3533182	3528442
MHS559	29360967	28792288	0.0900496	3473366	79.73	566736	2906630	2904712
MHS560	32407516	31855958	0.156704	7728694	38.11	742924	6985770	6982371
MHS561	15900049	15495606	0.0823885	443731	63.52	34519	409212	408947
MHS562	15545666	15231743	0.113616	3830398	51.97	621551	3208847	3205802
MHS563	19684422	19295185	0.0916007	4497173	48.04	958591	3538582	3536496
MHS564	24511666	24080817	0.0837655	5721547	82.20	152897	5568650	5567846
MHS565	14604920	14350548	0.0935237	5199077	70.35	157001	5042076	5041549
MHS566	1090890	799864	0.182884	462655	45.45	63964	398691	398350
MHS567	40542351	39887685	0.0892083	13206747	85.61	254482	12952265	12949829
MHS568	22641030	22179012	0.0998754	6739881	66.37	640371	6099510	6097285
MHS569	20576512	20149298	0.0942258	9734520	53.10	2160932	7573588	7568720
