LIBID	BEFORE_FASTP	AFTER_FASTP	DUP_RATE	AFT_HUMAN_RM	AFT_RIBO_RM	AFT_DEDUP	BT2_READS_START	PANGENE_ALIGN_RATE	K2_UNCLASSIFIED	K2_CLASSIFIED	MICROBE_COUNT	DV200
MHS369	57664923	56083251	0.698136	55200576	52921997	6338802	6338802	66.79	424728	5914074	5901406	68.44
MHS370	44055480	42490731	0.710085	41819120	39305317	4222429	4222429	67.59	255972	3966457	3943729	71.54
MHS371	38922104	38541373	0.641207	38382930	37584604	7535299	7535299	77.8	145883	7389416	7387150	85.16
MHS372	37653160	37439415	0.651238	37411124	36696082	8036248	8036248	86.97	120278	7915970	7914564	88.16
MHS373	29707001	29464475	0.618208	28923492	25463412	6221322	6221322	72.09	532219	5689103	5683599	83.96
MHS374	40323863	39836794	0.691229	10785813	7044686	1057120	1057120	48.79	345722	711398	582425	68.69
MHS375	43289263	42741201	0.73998	41742486	30137957	3013152	3013152	35.78	962009	2051143	2041480	51.46
MHS376	32602174	32281541	0.684033	31568249	28351662	4437576	4437576	77.96	358842	4078734	4071711	78.09
MHS377	33825255	33613194	0.647273	33559964	32321157	7204240	7204240	84.54	202250	7001990	6999291	77.38
MHS378	27583354	27379965	0.561175	27270300	21013471	7021387	7021387	74.12	530491	6490896	6485610	70.68
MHS379	62423264	61961969	0.68553	61846706	33943564	7712284	7712284	80.45	182905	7529379	7525307	70.28
MHS380	53377837	52781239	0.720547	52289394	45965394	5250471	5250471	67.41	580351	4670120	4663725	58.81
MHS381	61293412	60705177	0.74596	59123377	36992561	4200388	4200388	59	745312	3455076	3439946	72.09
MHS382	32613699	32301822	0.75775	31616955	24154570	2304505	2304505	48.05	591385	1713120	1705803	66.78
MHS383	44176328	43743860	0.755367	43392002	41496238	4075101	4075101	78.43	379210	3695891	3689892	62.47
MHS384	37336409	36963505	0.547039	36786113	27273531	9909488	9909488	84.16	174528	9734960	9731050	80.64
MHS385	51590740	50985364	0.732898	23045531	17666940	1999952	1999952	40.95	549861	1450091	1354830	54.63
MHS386	28604064	28224466	0.565278	28030740	24030649	6961685	6961685	86.08	114475	6847210	6844929	84.07
MHS387	39092922	38493013	0.724693	38003733	36769388	3870427	3870427	74.06	265967	3604460	3600045	85.14
MHS388	65183523	64571125	0.73384	49207939	38560076	4355716	4355716	68.49	507997	3847719	3784287	73.68
MHS389	38455993	37986808	0.64918	37308813	30054149	6050406	6050406	78.32	157244	5893162	5887159	76.45
