feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	source
COG0194	Ch_RNA	Ch_RNA	-1.48782584835633	0.318405019995522	82	76	2.02155488353844e-5	0.0010406003801501336	bacteria
COG2079	Ch_RNA	Ch_RNA	2.10158881157197	0.451702264528425	82	23	2.05058777325977e-5	0.0010451966503115238	bacteria
3NVIS	Ch_RNA	Ch_RNA	-1.48161762846122	0.31814917088732	82	47	2.33642085744055e-5	0.0011793254405663516	fungi
COG0268	Ch_RNA	Ch_RNA	-1.26787447494864	0.274570735052504	82	78	2.40357059428768e-5	0.0011969282552072246	bacteria
COG0361	Ch_RNA	Ch_RNA	-1.3382961047952	0.289913647500382	82	80	2.41733923440582e-5	0.0011969282552072246	bacteria
3P1VU	Ch_RNA	Ch_RNA	-1.8098642691185	0.393608170903531	82	39	2.48801859015738e-5	0.0012203027028517188	fungi
3P94E	Ch_RNA	Ch_RNA	-1.94727865152193	0.420995463161508	82	23	2.52648002171938e-5	0.001227585947001781	fungi
COG0291	Ch_RNA	Ch_RNA	-1.38022058736356	0.301183576013663	82	42	2.66725673386699e-5	0.001283987755497637	bacteria
COG2261	Ch_RNA	Ch_RNA	-1.3203866686257	0.289425953500078	82	78	2.90151997604086e-5	0.0013839451702235257	bacteria
COG0186	Ch_RNA	Ch_RNA	-1.21562724886583	0.267201758832892	82	76	3.03274154016588e-5	0.0014333839333929464	bacteria
COG4474	Ch_RNA	Ch_RNA	2.68177497393962	0.593844719789941	82	17	3.32913063439444e-5	0.0015592928079474497	bacteria
31X1U	Ch_RNA	Ch_RNA	1.6551481840313	0.365314989603346	82	51	3.38950560036914e-5	0.0015733963943142107	bacteria
3NV8A	Ch_RNA	Ch_RNA	-1.4129587716107	0.313605064651423	82	11	3.66244193298607e-5	0.0016753134254858977	fungi
32HK7	Ch_RNA	Ch_RNA	1.7067376931167	0.378875275160366	82	56	3.67350895374865e-5	0.0016753134254858977	bacteria
COG0244	Ch_RNA	Ch_RNA	-1.31524613858511	0.293038842083665	82	82	3.7811372099218e-5	0.001709402813424647	bacteria
COG1240	Ch_RNA	Ch_RNA	1.5557057805544	0.347161613957792	82	55	3.99493528295242e-5	0.0017904886669025547	bacteria
COG1925	Ch_RNA	Ch_RNA	-1.36195003804782	0.305108640803257	82	77	4.10529108012092e-5	0.001824222933807578	bacteria
COG0539	Ch_RNA	Ch_RNA	-1.25351641801194	0.281288623449987	82	82	4.19784785094929e-5	0.001849543303142827	bacteria
3P2TD	Ch_RNA	Ch_RNA	-1.34992253480174	0.305120860666374	82	41	4.37812933207854e-5	0.0019127642350820443	fungi
COG0148	Ch_RNA	Ch_RNA	-1.30129964681631	0.29337917373154	82	82	4.49247198280691e-5	0.001946363486551094	bacteria
2ZCCT	Ch_RNA	Ch_RNA	1.55955724389506	0.352812064078626	82	52	4.87832774822498e-5	0.00209606826140675	bacteria
3NZVT	Ch_RNA	Ch_RNA	-1.43307937269749	0.322718110625088	82	40	5.05920354758786e-5	0.0021415521920973386	fungi
COG1058	Ch_RNA	Ch_RNA	2.806297845926	0.637526049138774	82	16	5.06996083776487e-5	0.0021415521920973386	bacteria
3NVS1	Ch_RNA	Ch_RNA	-1.50021226009962	0.340591063881734	82	45	5.1077605658794e-5	0.0021415521920973386	fungi
COG2104	Ch_RNA	Ch_RNA	-1.68645487346766	0.38425480487412	82	57	5.24517725554338e-5	0.0021772032315332253	bacteria
COG2388	Ch_RNA	Ch_RNA	-1.29257462473402	0.294730061289247	82	73	5.27654562748964e-5	0.0021772032315332253	bacteria
3P5F5	Ch_RNA	Ch_RNA	-1.65185386668353	0.377732493993544	82	6	5.480983038064e-5	0.002243750457865727	fungi
COG2195	Ch_RNA	Ch_RNA	3.02362943149163	0.690734770980751	82	28	5.53252803670704e-5	0.002247157286159367	bacteria
334YM	Ch_RNA	Ch_RNA	1.73916764684396	0.397902749465139	82	50	5.75641524900205e-5	0.002319969215469896	bacteria
COG1281	Ch_RNA	Ch_RNA	2.67545585404984	0.614649466227443	82	36	5.81111871797795e-5	0.002324000478059028	bacteria
COG0185	Ch_RNA	Ch_RNA	-1.17464822856349	0.269719696638182	82	67	5.87646906995885e-5	0.0023321956255508446	bacteria
COG0509	Ch_RNA	Ch_RNA	-1.26363511577796	0.290665165664864	82	78	6.1245017130404e-5	0.002412218515613412	bacteria
COG0203	Ch_RNA	Ch_RNA	-1.22909062266521	0.283644773352297	82	79	6.39208526841298e-5	0.0024909811321257125	bacteria
COG4502	Ch_RNA	Ch_RNA	2.39630323236036	0.553716352447501	82	16	6.44977341755654e-5	0.0024909811321257125	bacteria
3NUCI	Ch_RNA	Ch_RNA	-1.66983105347873	0.386796346963054	82	41	6.46821413419833e-5	0.0024909811321257125	fungi
COG1071	Ch_RNA	Ch_RNA	-1.31394355202228	0.304595013402255	82	77	6.79276462995253e-5	0.0025967340669943535	bacteria
34A0Z	Ch_RNA	Ch_RNA	1.34027059642677	0.310933517987736	82	52	6.92179584270713e-5	0.0026267457362214868	bacteria
